city,idx,name,img,w,h,ratio,bytes,page,credit,reason
charleston,2,Fort Sumter National Monument,images/landmarks/charleston-fort-sumter.webp,1200,494,2.429,39298,https://commons.wikimedia.org/wiki/File:FortSumter2009.jpg,,ultra-wide
goreme,4,Pigeon Valley (Güvercinlik Vadisi),images/landmarks/goreme-pigeon-valley.webp,1200,494,2.429,176978,https://commons.wikimedia.org/wiki/File:Guvercinlik_Vadisi.jpg,,ultra-wide
eilat,5,Mount Tzfahot,images/landmarks/eilat-mount-tzfahot.webp,800,329,2.432,22224,https://commons.wikimedia.org/wiki/File:Tzfahot.jpg,,ultra-wide+small-file
rome,1,Roman Forum,images/landmarks/rome-roman-forum.webp,1200,493,2.434,129014,https://commons.wikimedia.org/wiki/File:Foro_Romano_Musei_Capitolini_Roma.jpg,,ultra-wide
cancun,2,Cobá (Nohoch Mul Pyramid),images/landmarks/cancun-coba-nohoch-mul-pyramid.webp,1200,491,2.444,158616,https://commons.wikimedia.org/w/index.php?search=Cob%C3%A1%20%28Nohoch%20Mul%20Pyramid%29%20Canc%C3%BAn&title=Special:MediaSearch,,ultra-wide
san-diego,1,USS Midway Museum,images/landmarks/san-diego-uss-midway-museum.webp,1200,491,2.444,62084,"https://commons.wikimedia.org/wiki/File:San_Diego_(California,_USA),_USS_Midway_Museum_--_2012_--_5368.jpg",,ultra-wide
santiago-de-cuba,2,Cementerio Santa Ifigenia,images/landmarks/santiago-de-cuba-cementerio-santa-ifigenia.webp,1200,490,2.449,87656,"https://commons.wikimedia.org/wiki/File:Cementerio_Santa_Ifigenia,_Santiago_de_Cuba_36.jpg",,ultra-wide
detroit,2,Belle Isle Park,images/landmarks/detroit-belle-isle-park.webp,1200,489,2.454,58708,https://commons.wikimedia.org/wiki/File:Belle_Isle_Park.jpg,,ultra-wide
catania,1,Mount Etna,images/landmarks/catania-mount-etna.webp,1200,488,2.459,99170,https://commons.wikimedia.org/wiki/File:Mt_Etna_and_Catania1.jpg,,ultra-wide
las-palmas-de-gran-canaria,1,Vegueta Old Town,images/landmarks/las-palmas-de-gran-canaria-vegueta-old-town.webp,1200,488,2.459,112874,https://commons.wikimedia.org/wiki/File:Vegueta_D81_6060_View_from_Santa_Ana_church_bell_tower_(32313549676).jpg,,ultra-wide
kinshasa,4,National Museum of the Democratic Republic of Congo,images/landmarks/kinshasa-national-museum-of-the-democratic-republic-of-congo.webp,923,374,2.468,53474,https://commons.wikimedia.org/wiki/File:National_Museum_of_RD_Congo_01.jpg,,ultra-wide
freetown,6,Bunce Island,images/landmarks/freetown-bunce-island.webp,1000,405,2.469,88884,https://commons.wikimedia.org/wiki/File:Bunce_Island_north-west.JPG,,ultra-wide
hyderabad,5,Falaknuma Palace,images/landmarks/hyderabad-falaknuma-palace.webp,1200,484,2.479,100918,https://commons.wikimedia.org/wiki/File:Falaknuma_Palace_01.jpg,,ultra-wide
