City,Item,Column,Old,New
Acapulco de Juarez,Puerto Marques,Hood 4 Photo Credit,,https://commons.wikimedia.org/wiki/File:Bah%C3%ADa_de_Puerto_Marqu%C3%A9s_-_panoramio.jpg
Acapulco de Juarez,Pie de la Cuesta,Hood 5 Photo File,,images/hoods/acapulco-de-juarez--pie-de-la-cuesta.webp
Acapulco de Juarez,Pie de la Cuesta,Hood 5 Photo Credit,,"https://commons.wikimedia.org/wiki/File:Pie_de_la_Cuesta_en_Acapulco,_M%C3%A9xico.jpg"
Accra,hero,City Photo File,images/cities/accra.jpg,images/cities/accra.webp
Accra,Osu,Hood 1 Photo File,,images/hoods/accra--osu.webp
Accra,Osu,Hood 1 Photo Credit,,"https://commons.wikimedia.org/wiki/File:Alleyway,_Korle-Klottey_(P1100244).jpg"
Accra,Airport Residential Area,Hood 2 Photo File,,images/hoods/accra--airport-residential-area.webp
Accra,Airport Residential Area,Hood 2 Photo Credit,,https://commons.wikimedia.org/wiki/File:Green_flower_standing.jpg
Accra,East Legon,Hood 3 Photo File,,images/hoods/accra--east-legon.webp
Accra,East Legon,Hood 3 Photo Credit,,"https://commons.wikimedia.org/wiki/File:Food_Garage,_Ayawaso_West_(P1100526).jpg"
Accra,Labadi/La,Hood 4 Photo File,,images/hoods/accra--labadi-la.webp
Accra,Labadi/La,Hood 4 Photo Credit,,https://commons.wikimedia.org/wiki/File:Labadi_Beach_-_Accra_-_panoramio.jpg
Accra,Cantonments/Ridge,Hood 5 Photo File,,images/hoods/accra--cantonments-ridge.webp
Accra,Cantonments/Ridge,Hood 5 Photo Credit,,https://commons.wikimedia.org/wiki/File:Stephen_Adei.jpg
Addis Ababa,hero,City Photo File,images/cities/addis-ababa.jpg,images/cities/addis-ababa.webp
Addis Ababa,Bole,Hood 1 Photo File,,images/hoods/addis-ababa--bole.webp
Addis Ababa,Bole,Hood 1 Photo Credit,,"https://commons.wikimedia.org/wiki/File:Bole,_Capt._B.P._and_Patsy_1917_c_-_DPLA_-_0b3ccc73c2234a551e74e5a92957831a.jpg"
Addis Ababa,Kazanchis,Hood 2 Photo File,,images/hoods/addis-ababa--kazanchis.webp
Addis Ababa,Kazanchis,Hood 2 Photo Credit,,"https://commons.wikimedia.org/wiki/File:Gasoliner%C3%ADa_en_Kazanchis,_Ad%C3%ADs_Abeba.jpg"
Addis Ababa,Piassa,Hood 3 Photo File,,images/hoods/addis-ababa--piassa.webp
Addis Ababa,Piassa,Hood 3 Photo Credit,,https://commons.wikimedia.org/wiki/File:Addis_Ababa_-_Piassa.jpg
Addis Ababa,Meskel Square,Hood 4 Photo File,,images/hoods/addis-ababa--meskel-square.webp
Addis Ababa,Meskel Square,Hood 4 Photo Credit,,"https://commons.wikimedia.org/wiki/File:Meskel_Square,_December_2014.jpg"
Addis Ababa,Old Airport,Hood 5 Photo File,,images/hoods/addis-ababa--old-airport.webp
Addis Ababa,Old Airport,Hood 5 Photo Credit,,"https://commons.wikimedia.org/wiki/File:Aksum,_stele_2_(stele_di_roma)_11.jpg"
Adelaide,hero,City Photo File,images/cities/adelaide.jpg,images/cities/adelaide.webp
Adelaide,Adelaide CBD,Hood 1 Photo File,,images/hoods/adelaide--adelaide-cbd.webp
Adelaide,Adelaide CBD,Hood 1 Photo Credit,,"https://commons.wikimedia.org/wiki/File:Adelaide_SA_5000,_Australia_-_panoramio_(11).jpg"
Adelaide,North Adelaide,Hood 2 Photo File,,images/hoods/adelaide--north-adelaide.webp
Adelaide,North Adelaide,Hood 2 Photo Credit,,https://commons.wikimedia.org/wiki/File:A_Magpie_Called_Lakshmi_(7596635914).jpg
Adelaide,Glenelg,Hood 3 Photo File,,images/hoods/adelaide--glenelg.webp
Adelaide,Glenelg,Hood 3 Photo Credit,,"https://commons.wikimedia.org/wiki/File:Admiralty_Chart_No_1594_Kyle_Rhea_and_the_North_Part_of_the_Sound_of_Sleat,_Published_1912.jpg"
Adelaide,Norwood,Hood 4 Photo File,,images/hoods/adelaide--norwood.webp
Adelaide,Norwood,Hood 4 Photo Credit,,"https://commons.wikimedia.org/wiki/File:Norwood_Oval,_January_2026_01.jpg"
Agadez,hero,City Photo File,images/cities/agadez.jpg,images/cities/agadez.webp
Agadez,Vieille Ville,Hood 1 Photo File,,images/hoods/agadez--vieille-ville.webp
Agadez,Vieille Ville,Hood 1 Photo Credit,,"https://commons.wikimedia.org/wiki/File:Niger,_Agadez_(10),_Sidi_K%C3%A2_bakery.jpg"
Agadir,hero,City Photo File,images/cities/agadir.jpg,images/cities/agadir.webp
Agadir,Marina d'Agadir,Hood 2 Photo File,,images/hoods/agadir--marina-d-agadir.webp
Agadir,Marina d'Agadir,Hood 2 Photo Credit,,https://commons.wikimedia.org/wiki/File:In_the_Marina_of_Agadir_(33392688025).png
Agadir,Founty (Sonaba),Hood 3 Photo File,,images/hoods/agadir--founty-sonaba.webp
Agadir,Founty (Sonaba),Hood 3 Photo Credit,,"https://commons.wikimedia.org/wiki/File:Founty,_Agadir_80000,_Morocco_-_panoramio.jpg"
Agadir,Talborjt,Hood 4 Photo File,,images/hoods/agadir--talborjt.webp
Agadir,Talborjt,Hood 4 Photo Credit,,https://commons.wikimedia.org/wiki/File:Avenue_29_F%C3%A9vrier_-_Agadir_-_Talborjt.jpg
Agadir,Anza,Hood 5 Photo File,,images/hoods/agadir--anza.webp
Agadir,Anza,Hood 5 Photo Credit,,https://commons.wikimedia.org/wiki/File:Mezquita_en_Anza_(entre_Agadir_y_Aourir).jpg
Agra,hero,City Photo File,images/cities/agra.jpg,images/cities/agra.webp
Agra,Taj Ganj,Hood 1 Photo File,,images/hoods/agra--taj-ganj.webp
Agra,Taj Ganj,Hood 1 Photo Credit,,"https://commons.wikimedia.org/wiki/File:Buffaloes_in_the_streets_of_Taj_Ganj,_Agra,_11-2009_-_panoramio.jpg"
Agra,Taj East Gate (Taj Nagari),Hood 2 Photo File,,images/hoods/agra--taj-east-gate-taj-nagari.webp
Agra,Taj East Gate (Taj Nagari),Hood 2 Photo Credit,,https://commons.wikimedia.org/wiki/File:Taj_Mahal_metro_station.jpg
Agra,Sadar Bazaar,Hood 4 Photo File,,images/hoods/agra--sadar-bazaar.webp
Agra,Sadar Bazaar,Hood 4 Photo Credit,,https://commons.wikimedia.org/wiki/File:Multan_Cantt_Sadar_Bazaar.jpg
Aix-en-Provence,hero,City Photo File,images/cities/aix-en-provence.jpg,images/cities/aix-en-provence.webp
Aix-en-Provence,Vieil Aix,Hood 1 Photo File,,images/hoods/aix-en-provence--vieil-aix.webp
