city,idx,name,img,w,h,ratio,page
luxembourg,1,Notre-Dame Cathedral,images/landmarks/luxembourg-notre-dame-cathedral.webp,485,1600,0.303,https://commons.wikimedia.org/wiki/File:Cathedral_of_Our_Lady_in_Luxembourg_City_06.jpg
riga,1,Freedom Monument,images/landmarks/riga-freedom-monument.webp,507,1600,0.317,https://commons.wikimedia.org/wiki/File:0875_LVA_Riga_freedom_monument_full.jpg
salerno,4,Via dei Mercanti,images/landmarks/salerno-via-dei-mercanti.webp,532,1600,0.333,"https://commons.wikimedia.org/wiki/File:Palazzo_Carrara,_palace_in_Salerno,_Italy.jpg"
rouen,0,Cathédrale Notre-Dame de Rouen (Rouen Cathedral),images/landmarks/rouen-cathedrale-notre-dame-de-rouen-rouen-cathedral.webp,624,1600,0.39,https://commons.wikimedia.org/wiki/File:Rouen_France_Cath%C3%A9drale-Notre-Dame-de-Rouen-01.jpg
new-york,0,Statue of Liberty,images/landmarks/new-york-statue-of-liberty.webp,646,1600,0.404,https://commons.wikimedia.org/wiki/File:Statue_of_Liberty_frontal_2.jpg
strasbourg,7,European Parliament (Louise Weiss Building),images/landmarks/strasbourg-european-parliament-louise-weiss-building.webp,666,1600,0.416,https://commons.wikimedia.org/wiki/File:Parlement_europ%C3%A9en_-_ext%C3%A9rieur_(Strasbourg).jpg
tours,0,Cathédrale Saint-Gatien,images/landmarks/tours-cathedrale-saint-gatien.webp,681,1600,0.426,https://commons.wikimedia.org/wiki/File:Tours_-_Cathédrale_Saint-Gatien_-_Exterior_-_15.jpg
santiago,1,Plaza de Armas,images/landmarks/santiago-cl-plaza-de-armas.webp,683,1600,0.427,https://commons.wikimedia.org/wiki/File:Plaza_de_Armas_de_Santiago_2017_c.jpg
new-york,1,Empire State Building,images/landmarks/new-york-empire-state-building.webp,687,1600,0.429,https://commons.wikimedia.org/wiki/File:Empire_State_Building_pano.jpg
pittsburgh,0,Cathedral of Learning,images/landmarks/pittsburgh-cathedral-of-learning.webp,696,1600,0.435,"https://commons.wikimedia.org/wiki/File:Cathedral_of_Learning,_Pittsburgh,_2020-02-24,_01.jpg"
berlin,2,Berlin TV Tower (Fernsehturm),images/landmarks/berlin-tv-tower-fernsehturm.webp,707,1600,0.442,https://en.wikipedia.org/wiki/Fernsehturm_Berlin
wurzburg,3,Würzburg Cathedral (Dom St. Kilian),images/landmarks/wurzburg-wurzburg-cathedral-dom-st-kilian.webp,715,1600,0.447,https://commons.wikimedia.org/wiki/File:Dom_Wuerzburg.jpg
vatican-city,9,Vatican Obelisk,images/landmarks/vatican-city-obelisk.webp,719,1600,0.449,https://commons.wikimedia.org/wiki/File:Obelisk_of_St._Peter.jpg
denpasar,1,Puputan Badung Square,images/landmarks/denpasar-puputan-badung-square.webp,720,1600,0.45,https://commons.wikimedia.org/wiki/File:Monumen_Puputan_Badung.jpg
mar-del-plata,5,Torre Tanque,images/landmarks/mar-del-plata-torre-tanque.webp,720,1600,0.45,https://commons.wikimedia.org/wiki/File:Torre_Tanque_Mar_del_Plata.jpg
new-orleans,2,St. Louis Cathedral,images/landmarks/new-orleans-st-louis-cathedral.webp,722,1600,0.451,https://commons.wikimedia.org/wiki/File:St._Louis_Cathedral_(New_Orleans)_10.jpg
oranjestad,0,Fort Zoutman & Willem III Tower,images/landmarks/oranjestad-fort-zoutman.webp,730,1600,0.456,"https://commons.wikimedia.org/wiki/File:Willem_III_tower,_Fort_Zoutman,_Oranjestad,_ARUBA.JPG"
hua-hin,2,Wat Huay Mongkol,images/landmarks/hua-hin-wat-huay-mongkol.webp,640,1386,0.462,https://commons.wikimedia.org/wiki/File:Wat_Huay_Mongkol_Giant_statue_of_famous_monk.jpg
tangier,0,Kasbah and Kasbah Museum (Dar el Makhzen),images/landmarks/tangier-kasbah-and-kasbah-museum-dar-el-makhzen.webp,739,1600,0.462,https://commons.wikimedia.org/wiki/File:Tangier_-_Dar_el_Makhzen_(Tangier)_-_20240929091120.jpg
ulm,6,Museum Ulm,images/landmarks/ulm-museum-ulm.webp,740,1600,0.463,https://commons.wikimedia.org/wiki/File:GER_—_BW_—_RPT_—_Ulm_—_Marktpl._9_—_(Ulmer_Museum)_—_Mattes_2022-03-13_Batch_(3).jpg
melbourne,6,Eureka Tower / Skydeck,images/landmarks/melbourne-eureka-tower-skydeck.webp,484,1036,0.467,"https://commons.wikimedia.org/wiki/File:Eureka_Tower,_August_2010.png"
puebla,1,Capilla del Rosario (Rosary Chapel),images/landmarks/puebla-capilla-del-rosario.webp,748,1600,0.468,https://commons.wikimedia.org/wiki/File:Capilla_del_Rosario_Puebla_Diciembre_2015.jpg
shanghai,6,Shanghai World Financial Center,images/landmarks/shanghai-shanghai-world-financial-center.webp,749,1600,0.468,https://commons.wikimedia.org/wiki/File:Shanghai_World_Financial_Center_(March_9th_2024)_(cropped2).jpg
pattaya-chonburi,7,Art in Paradise Pattaya,images/landmarks/pattaya-chonburi-art-in-paradise-pattaya.webp,754,1600,0.471,"https://commons.wikimedia.org/wiki/File:Art_In_Paradise,_Pattaya,_Thailand.png"
hebron,5,Tel Rumeida (Ancient Tel Hebron),images/landmarks/hebron-tel-rumeida.webp,758,1600,0.474,"https://commons.wikimedia.org/wiki/File:An_ancient_Roman_olive_tree_in_Tel_Rumeida_in_the_city_of_Hebron,_Palestine.jpg"
auckland,0,Sky Tower,images/landmarks/auckland-sky-tower.webp,764,1600,0.477,https://commons.wikimedia.org/wiki/File:Sky%20Tower%20Auckland%2001.jpg
pisa,0,Leaning Tower of Pisa,images/landmarks/pisa-leaning-tower-of-pisa.webp,765,1600,0.478,https://commons.wikimedia.org/wiki/File:Exterior_of_the_Leaning_Tower_(Pisa)_in_April_2024.jpg
shanghai,0,Oriental Pearl Tower,images/landmarks/shanghai-oriental-pearl-tower.webp,765,1600,0.478,https://commons.wikimedia.org/wiki/File:Oriental_Pearl_Tower_20251126.jpg
klaipeda,9,Central Post Office,images/landmarks/klaipeda-central-post-office.webp,770,1600,0.481,https://commons.wikimedia.org/wiki/File:Main_post_office_building_in_Klaipėda_01.jpg
zaragoza,6,Goya Museum,images/landmarks/zaragoza-goya-museum.webp,775,1600,0.484,https://commons.wikimedia.org/wiki/File:Casa_de_los_Pardo-Museo_Camon_Aznar.jpg
dusseldorf,0,Rheinturm,images/landmarks/dusseldorf-rheinturm.webp,778,1600,0.486,https://commons.wikimedia.org/wiki/File:Rheinturm_-_Gesamtansicht_vom_Medienhafen.jpg
sana-a,7,Sana'a Tower Houses of Al-Qasimi Quarter,images/landmarks/sanaa-sanaa-tower-houses-of-al-qasimi-quarter.webp,778,1600,0.486,"https://commons.wikimedia.org/wiki/File:تفاصيل_سور_صنعاء_القديمة_التاريخي_والبيوت_البرجية،_اليمن_Historical_wall_and_tower_houses_of_the_Old_City_of_Sana'a,_Yemen.jpg"
shanghai,1,Shanghai Tower,images/landmarks/shanghai-shanghai-tower.webp,778,1600,0.486,https://commons.wikimedia.org/wiki/File:20191114_Shanghai_Tower_(2).jpg
san-sebastian,6,Catedral del Buen Pastor,images/landmarks/san-sebastian-catedral-del-buen-pastor.webp,784,1600,0.49,https://commons.wikimedia.org/wiki/File:San_Sebastián_Cathedral_tower_1190566.jpg
taormina,9,Mazzarò Beach and Cable Car,images/landmarks/taormina-mazzaro-beach-and-cable-car.webp,785,1600,0.491,https://commons.wikimedia.org/wiki/File:Cable_cars_in_Taormina_03.jpg
catania,4,Via Etnea,images/landmarks/catania-via-etnea.webp,788,1600,0.492,https://commons.wikimedia.org/wiki/File:Via_Etnea_(Catania)_05_02_2024_01.jpg
colmar,3,Collégiale Saint-Martin,images/landmarks/colmar-coll-giale-saint-martin.webp,789,1600,0.493,https://commons.wikimedia.org/wiki/File:Coll%C3%A9giale_Saint-Martin_-_horloge_(Colmar).jpg
london,5,Westminster Abbey,images/landmarks/london-westminster-abbey.webp,796,1600,0.497,"https://commons.wikimedia.org/wiki/File:Westminster_Abbey,_Westminster.jpg"
shanghai,4,Jin Mao Tower,images/landmarks/shanghai-jin-mao-tower.webp,795,1600,0.497,https://commons.wikimedia.org/wiki/File:Jin_Mao_Tower_Pudong_21860-Shanghai_(32939744091).jpg
lisbon,7,Cristo Rei (Christ the King),images/landmarks/lisbon-cristo-rei.webp,500,1000,0.5,https://en.wikipedia.org/wiki/Christ_the_King_(Almada)
taormina,2,Corso Umberto,images/landmarks/taormina-corso-umberto.webp,800,1600,0.5,https://commons.wikimedia.org/wiki/File:Corso_Umberto_Taormina_Comune_2020.jpg
saskatoon,2,Meewasin Valley Trail,images/landmarks/saskatoon-meewasin-valley-trail.webp,802,1600,0.501,https://commons.wikimedia.org/wiki/File:MeewasinValleyTrail.JPG
detroit,6,Guardian Building,images/landmarks/detroit-guardian-building.webp,803,1600,0.502,https://commons.wikimedia.org/wiki/File:Guardian_Building_2025.jpg
paris,9,Sainte-Chapelle,images/landmarks/paris-sainte-chapelle.webp,807,1600,0.504,https://en.wikipedia.org/wiki/Sainte-Chapelle
freiburg,3,Schlossberg and Tower,images/landmarks/freiburg-schlossberg-tower.webp,821,1600,0.513,https://commons.wikimedia.org/wiki/File:Schlossbergturm_(Freiburg).jpg
cork,1,St. Fin Barre's Cathedral,images/landmarks/cork-st-fin-barre-s-cathedral.webp,827,1600,0.517,https://commons.wikimedia.org/wiki/File:02_St_Fin_Barre%27s_Cathedral_Facade.jpg
frankfurt-am-main,5,Main Tower,images/landmarks/frankfurt-am-main-main-tower.webp,831,1600,0.519,https://commons.wikimedia.org/wiki/File:Maintower_Frankfurt.jpg
stuttgart,4,Stiftskirche (Stuttgart Collegiate Church),images/landmarks/stuttgart-stiftskirche.webp,834,1600,0.521,https://commons.wikimedia.org/wiki/File:Stiftskirche_Stuttgart_2010.jpg
milan,2,Sforza Castle (Castello Sforzesco),images/landmarks/milan-sforza-castle-castello-sforzesco.webp,836,1600,0.522,https://commons.wikimedia.org/wiki/File:Castello_Sforzesco_(Milan)_-_main_entrance.jpg
baden-baden,5,Merkur Mountain,images/landmarks/baden-baden-merkur-mountain.webp,842,1600,0.526,https://commons.wikimedia.org/wiki/File:Merkurturm%20-%20Baden-Baden.jpg
bissau,3,Bissau Cathedral (Sé Catedral de Bissau),images/landmarks/bissau-cathedral.webp,852,1600,0.532,https://commons.wikimedia.org/wiki/File:Catedral_de_Bissau_(1).jpg
innsbruck,8,City Tower (Stadtturm),images/landmarks/innsbruck-city-tower.webp,852,1600,0.532,https://commons.wikimedia.org/wiki/File:Innsbruck_-_Stadtturm3.jpg
salzburg,4,Mozart's Birthplace,images/landmarks/salzburg-mozart-s-birthplace.webp,855,1600,0.534,"https://commons.wikimedia.org/wiki/File:Salzburg,_Getreidegasse_9,_Mozarts_Geburtshaus.jpg"
utrecht,0,Dom Tower (Domtoren),images/landmarks/utrecht-dom-tower.webp,854,1600,0.534,https://commons.wikimedia.org/wiki/File:DomTorenUtrechtNederland.jpg
nashville,9,Bridgestone Arena,images/landmarks/nashville-bridgestone-arena.webp,859,1600,0.537,"https://commons.wikimedia.org/wiki/File:Bridgestone_Arena-_Nashville,_Tennessee.jpg"
bonn,1,Bonn Minster (Bonner Münster),images/landmarks/bonn-bonn-minster.webp,750,1371,0.547,https://en.wikipedia.org/wiki/Bonn_Minster
leticia,9,Puerto de Leticia,images/landmarks/leticia-puerto-de-leticia.webp,889,1600,0.556,https://en.wikipedia.org/wiki/Leticia%2C%20Amazonas
prague,2,Prague Astronomical Clock,images/landmarks/prague-astronomical-clock.webp,895,1600,0.559,https://commons.wikimedia.org/wiki/File:Praha_Astronomical_Clock_02.jpg
santa-cruz-de-tenerife,6,Iglesia de la Concepción,images/landmarks/santa-cruz-de-tenerife-iglesia-de-la-concepcion.webp,896,1600,0.56,"https://commons.wikimedia.org/wiki/File:Iglesia_de_la_Concepción,_Santa_Cruz_de_Tenerife1.jpg"
bratislava,1,St. Martin's Cathedral,images/landmarks/bratislava-st-martin-s-cathedral.webp,898,1600,0.561,"https://en.wikipedia.org/wiki/St_Martin's_Cathedral,_Bratislava"
bremen,2,Bremen Town Musicians Statue,images/landmarks/bremen-bremen-town-musicians-statue.webp,500,891,0.561,https://en.wikipedia.org/wiki/Town_Musicians_of_Bremen
erbil,0,Erbil Citadel,images/landmarks/erbil-erbil-citadel.webp,898,1600,0.561,https://commons.wikimedia.org/wiki/File:Archaeological_Erbil_Citadel_wall_archaeological.jpg
kandy,4,Udawattakele Forest Reserve,images/landmarks/kandy-udawattakele-forest-reserve.webp,898,1600,0.561,https://commons.wikimedia.org/wiki/File:Giant_lianas_Udawattakele_Forest_Reserve_Kandy.jpg
toronto,9,Kensington Market,images/landmarks/toronto-kensington-market.webp,898,1600,0.561,"https://commons.wikimedia.org/wiki/File:%22Kensington%22_sign_in_Kensington_Market,_Toronto.jpg"
vilnius,8,Vilnius TV Tower,images/landmarks/vilnius-tv-tower.webp,898,1600,0.561,https://commons.wikimedia.org/wiki/File:Vilnius_TV_Tower_reflected_in_a_puddle_at_Lazdynai.jpg
arhus,2,Aarhus Cathedral (Aarhus Domkirke),images/landmarks/arhus-cathedral.webp,900,1600,0.562,https://commons.wikimedia.org/wiki/File:View_from_bell_tower_cathedral_steeple_Aarhus_Domkirke_Denmark_01.jpg
bamako,8,Muso Kunda Museum,images/landmarks/bamako-muso-kunda-museum.webp,607,1080,0.562,https://en.wikipedia.org/wiki/Muso_Kunda_Museum_of_Women
banda-aceh,0,Baiturrahman Grand Mosque,images/landmarks/banda-aceh-baiturrahman-grand-mosque.webp,900,1600,0.562,https://commons.wikimedia.org/wiki/File:Masjid%20Raya%20Baiturrahman%20di%20Banda%20Aceh.jpg
bariloche,4,Centro Cívico,images/landmarks/bariloche-centro-civico.webp,899,1600,0.562,https://commons.wikimedia.org/wiki/File:Bariloche_Centro_Civico.jpg
basseterre,1,The Circus and Berkeley Memorial Clock,images/landmarks/basseterre-the-circus-berkeley-memorial-clock.webp,900,1600,0.562,https://commons.wikimedia.org/wiki/File:Clock_tower_The_Circus_from_Ballahoo.JPG
bishkek,5,Panfilov Park,images/landmarks/bishkek-panfilov-park.webp,899,1600,0.562,https://en.wikipedia.org/wiki/Panfilov_Park_(Bishkek)
bissau,8,Amílcar Cabral Statue and Mausoleum Grounds,images/landmarks/bissau-cabral-mausoleum.webp,900,1600,0.562,https://commons.wikimedia.org/wiki/File:Am%C3%ADlcar_Cabral_mausoleum_in_Bissau_1.jpg
cayenne,2,Marché de Cayenne (Central Market),images/landmarks/cayenne-marche-de-cayenne.webp,719,1280,0.562,"https://commons.wikimedia.org/wiki/File:March%C3%A9_de_Cayenne,_Cayenne,_Guyane_Fran%C3%A7aise.jpg"
cordoba,7,Torre de la Calahorra,images/landmarks/cordoba-torre-de-la-calahorra.webp,900,1600,0.562,https://commons.wikimedia.org/wiki/File:Torre_de_la_Calahorra_de_C%C3%B3rdoba.jpg
corfu,1,Corfu Old Town and the Liston,images/landmarks/corfu-corfu-old-town-and-the-liston.webp,900,1600,0.562,https://commons.wikimedia.org/wiki/File:Liston_-_Corfu_Old_Town.jpg
cox-s-bazar,8,Sonadia Island,images/landmarks/coxs-bazar-sonadia-island.webp,900,1600,0.562,https://commons.wikimedia.org/wiki/File:A_day_in_Sonadia_Island.jpg
cuiaba,2,Centro Geodésico da América do Sul,images/landmarks/cuiaba-centro-geodesico-america-do-sul.webp,900,1600,0.562,https://commons.wikimedia.org/wiki/File:Centro_Geod%C3%A9sico_da_Am%C3%A9rica_do_Sul.jpg
da-nang,3,Lady Buddha and Linh Ung Pagoda,images/landmarks/da-nang-lady-buddha-linh-ung-pagoda.webp,900,1600,0.562,https://commons.wikimedia.org/wiki/File:Lady_Buddha_Statue_at_Linh_Ung_Pagoda.jpg
florence,4,Uffizi Gallery,images/landmarks/florence-uffizi-gallery.webp,900,1600,0.562,"https://commons.wikimedia.org/wiki/File:Piazzale_degli_Uffizi,_Uffizi_Galleries,_Florence,_Italy.jpg"
galle,1,Galle Fort Ramparts,images/landmarks/galle-fort-ramparts.webp,900,1600,0.562,https://commons.wikimedia.org/wiki/File:Walking_on_Galle_Fort_walls_(23019199989).jpg
gdansk,5,Mariacka Street,images/landmarks/gdansk-mariacka-street.webp,900,1600,0.562,https://commons.wikimedia.org/wiki/File:Gda%C5%84sk_ulica_Mariacka_48.JPG
guadalajara,5,Templo Expiatorio del Santísimo Sacramento,images/landmarks/guadalajara-templo-expiatorio.webp,900,1600,0.562,https://commons.wikimedia.org/wiki/File:Templo_Expiatorio_del_Sant%C3%ADsimo_Sacramento_de_Guadalajara_2.jpg
guangzhou,8,Guangzhou Circle,images/landmarks/guangzhou-circle.webp,900,1600,0.562,https://commons.wikimedia.org/wiki/File:Guangzhou_Circle_Building_1.jpg
hebron,1,Hebron Old City (UNESCO),images/landmarks/hebron-hebron-old-city.webp,900,1600,0.562,https://commons.wikimedia.org/wiki/File:Old_city_of_Hebron.jpg
hue,8,An Dinh Palace,images/landmarks/hue-an-dinh-palace.webp,900,1600,0.562,"https://commons.wikimedia.org/wiki/File:An_Dinh_Palace,_Hue_(48836409218).jpg"
ibadan,3,Bower's Tower (Oke-Are),images/landmarks/ibadan-bowers-tower.webp,900,1600,0.562,https://commons.wikimedia.org/wiki/File:Bower%27s_Tower_02.jpg
izmir,9,Kültürpark,images/landmarks/izmir-kulturpark.webp,960,1707,0.562,https://commons.wikimedia.org/wiki/File:Psittacula_krameri_feeding_in_Kulturpark_Izmir_Turkiye.webm
jerez-de-la-frontera,5,Iglesia de San Miguel,images/landmarks/jerez-de-la-frontera-iglesia-de-san-miguel.webp,899,1600,0.562,"https://commons.wikimedia.org/wiki/File:Iglesia_de_San_Miguel,_Jerez_de_la_Frontera,_Espa%C3%B1a,_2015-12-07,_DD_03-05_HDR.JPG"
kaohsiung,7,85 Sky Tower,images/landmarks/kaohsiung-85-sky-tower.webp,900,1600,0.562,https://commons.wikimedia.org/wiki/File:Kaohsiung_Taiwan_Kaohsiung-85-Building-01.jpg
macau,0,Ruins of St. Paul's,images/landmarks/macau-ruins-of-st-pauls.webp,900,1600,0.562,"https://commons.wikimedia.org/wiki/File:Ruins_of_St._Paul,_Macau,_during_a_festival.jpg"
manaus,7,Museu da Amazônia (MUSA),images/landmarks/manaus-museu-da-amazonia-musa.webp,900,1600,0.562,https://commons.wikimedia.org/wiki/File:Visita_ao_Museu_da_Amaz%C3%B4nia_(MUSA)_(54146161452).jpg
manchester,4,Beetham Tower,images/landmarks/manchester-beetham-tower.webp,899,1600,0.562,"https://commons.wikimedia.org/wiki/File:Beetham_Tower,_Manchester_-_geograph.org.uk_-_2479935.jpg"
mardin,6,Mor Behnam (Kırklar) Church,images/landmarks/mardin-mor-behnam-kirklar-church.webp,900,1600,0.562,https://commons.wikimedia.org/wiki/File:MOR_BEHNAM_CHURCH.jpg
monterrey,9,Paseo Santa Lucía,images/landmarks/monterrey-paseo-santa-lucia.webp,900,1600,0.562,https://commons.wikimedia.org/wiki/File:Paseo_Santa_Lucia_2024.jpg
mostar,8,Museum of Old Bridge and Tara Tower,images/landmarks/mostar-museum-of-old-bridge-and-tara-tower.webp,900,1600,0.562,https://commons.wikimedia.org/wiki/File:Museum_of_the_Old_Bridge.jpg
nassau,1,Fort Fincastle,images/landmarks/nassau-fort-fincastle.webp,900,1600,0.562,"https://commons.wikimedia.org/wiki/File:Fort_Fincastle,_Nassau,_Bahamas_(March_14,_2024).jpg"
nice,5,"Russian Orthodox Cathedral, Nice",images/landmarks/nice-russian-orthodox-cathedral-nice.webp,900,1600,0.562,"https://commons.wikimedia.org/wiki/File:Russian_Orthodox_Cathedral,_Nice.jpg"
nouakchott,7,Nouakchott Beach,images/landmarks/nouakchott-beach.webp,900,1600,0.562,https://commons.wikimedia.org/wiki/File:Nouakchott_beach-1.jpg
osaka,3,Shitennoji Temple,images/landmarks/osaka-shitennoji-temple.webp,899,1600,0.562,https://commons.wikimedia.org/wiki/File:Shitennoji-pagoda.jpg
papeete,3,Point Venus Lighthouse,images/landmarks/papeete-point-venus-lighthouse.webp,900,1600,0.562,"https://commons.wikimedia.org/wiki/File:Point_Venus_lighthouse,_Tahiti,_2017.jpg"
petropolis,8,Cervejaria Bohemia,images/landmarks/petropolis-cervejaria-bohemia.webp,900,1600,0.562,https://commons.wikimedia.org/wiki/File:Cervejaria_Bohemia_03.jpg
potosi,5,Iglesia de San Lorenzo de Carangas,images/landmarks/potosi-iglesia-san-lorenzo.webp,899,1600,0.562,https://commons.wikimedia.org/wiki/File:Iglesia_de_San_Lorenzo_de_Carangas_01.jpg
puerto-plata,0,Teleférico de Puerto Plata,images/landmarks/plata-teleferico.webp,540,960,0.562,https://commons.wikimedia.org/wiki/File:Telef%C3%A9rico_Puerto_Plata.jpg
puerto-plata,1,Pico Isabel de Torres and Christ the Redeemer,images/landmarks/plata-pico-isabel-cristo.webp,540,960,0.562,"https://commons.wikimedia.org/wiki/File:Cristo_Redentor_P._Plata,_DR.jpg"
riga,3,St. Peter's Church,images/landmarks/riga-st-peters-church.webp,899,1600,0.562,"https://commons.wikimedia.org/wiki/File:Saint_Peter's_Church,_Riga,_2006_(02).jpg"
rostock,4,Petrikirche (St Peter's Church),images/landmarks/rostock-petrikirche-st-peters-church.webp,899,1600,0.562,"https://commons.wikimedia.org/wiki/File:Rostock,_Petrikirche_--_2024_--_5391.jpg"
sana-a,8,Wadi Dhahr Valley,images/landmarks/sanaa-wadi-dhahr-valley.webp,900,1600,0.562,https://commons.wikimedia.org/wiki/File:%D8%A5%D8%B7%D9%84%D8%A7%D9%84%D8%A9_%D8%B9%D9%84%D9%89_%D9%88%D8%A7%D8%AF%D9%8A_%D8%B8%D9%87%D8%B1_%D9%85%D9%86_%D9%83%D9%87%D9%81_%D8%AF%D8%A7%D8%B1_%D8%A7%D9%84%D8%AD%D8%AC%D8%B1_View_of_Wadi_Dhar_from_the_cave_of_Dar_al-Hajar.jpg
seville,3,Barrio Santa Cruz,images/landmarks/seville-barrio-santa-cruz.webp,900,1600,0.562,https://commons.wikimedia.org/wiki/File:Barrio_Santa_Cruz_(Sevilla).jpg
shenzhen,0,Ping An Finance Centre (Free Sky Observatory),images/landmarks/shenzhen-ping-an-finance-centre.webp,900,1600,0.562,https://commons.wikimedia.org/wiki/File:Pingan_International_Finance_Center2020.jpg
surakarta,3,Pasar Gede Hardjonagoro,images/landmarks/surakarta-pasar-gede-hardjonagoro.webp,720,1280,0.562,https://commons.wikimedia.org/wiki/File:The_front_facade_of_Pasar_Gedhe_Hardjonagoro_in_2019.jpg
tabriz,8,Amir Nezam House (Qajar Museum),images/landmarks/tabriz-amir-nezam-house-qajar-museum.webp,900,1600,0.562,https://commons.wikimedia.org/wiki/File:Amir_Nezam_House_(Qajar_museum)_6.jpg
tashkent,3,Tashkent TV Tower,images/landmarks/tashkent-tashkent-tv-tower.webp,900,1600,0.562,https://commons.wikimedia.org/wiki/File:Tashkent_TV_Tower_180.jpg
turpan,6,Grape Valley (Putao Gou),images/landmarks/turpan-grape-valley.webp,720,1280,0.562,https://commons.wikimedia.org/wiki/File:Turpan_grape_valley.jpg
valparaiso,1,Ascensor Concepción and the Historic Funiculars,images/landmarks/valparaiso-ascensor-concepcion-funiculars.webp,899,1600,0.562,https://commons.wikimedia.org/wiki/File:Ascensor_Concepción_Valparaíso.JPG
vancouver,8,Gastown Steam Clock,images/landmarks/vancouver-gastown-steam-clock.webp,900,1600,0.562,"https://commons.wikimedia.org/wiki/File:Vancouver_(BC,_Canada),_Gastown_Steam_Clock_--_2022_--_1824.jpg"
vina-del-mar,5,Muelle Vergara,images/landmarks/vina-del-mar-muelle-vergara.webp,341,607,0.562,https://commons.wikimedia.org/wiki/File:Muelle_Vergara_-_Viña_del_Mar.jpg
guangzhou,9,Guangzhou International Finance Center,images/landmarks/guangzhou-international-finance-center.webp,709,1260,0.563,https://commons.wikimedia.org/wiki/File:Guangzhou_International_Finance_Center.jpg
san-francisco,4,Lombard Street,images/landmarks/san-francisco-lombard-street.webp,596,1058,0.563,https://commons.wikimedia.org/wiki/File:Lombard_Street_2020.jpg
santiago-de-queretaro,6,Museo de Arte de Querétaro,images/landmarks/santiago-de-queretaro-museo-de-arte-de-queretaro.webp,901,1600,0.563,https://commons.wikimedia.org/wiki/File:Museo_de_Arte_Quer%C3%A9taro.jpg
nimes,3,Tour Magne,images/landmarks/nimes-tour-magne.webp,903,1600,0.564,https://commons.wikimedia.org/wiki/File:Tour_Magne_in_Nimes_(1).jpg
tegucigalpa,2,Cristo del Picacho,images/landmarks/tegucigalpa-cristo-del-picacho.webp,903,1600,0.564,https://commons.wikimedia.org/wiki/File:Cristo_del_Picacho_Tegucigalpa_Honduras.jpg
roseau,0,Roseau Cathedral (Our Lady of Fair Haven),images/landmarks/roseau-roseau-cathedral-our-lady-of-fair-haven.webp,907,1600,0.567,https://commons.wikimedia.org/wiki/File:Roseau_Cathedral_(13).jpg
houmt-el-souk,0,Borj El Ghazi Mustapha (Borj El Kebir fortress),images/landmarks/houmt-el-souk-borj-el-ghazi-mustapha.webp,908,1600,0.568,https://commons.wikimedia.org/wiki/File:Borj_ghazi_Mustapha.jpg
annecy,7,Cathedrale Saint-Pierre,images/landmarks/annecy-cathedrale-saint-pierre.webp,912,1600,0.57,https://commons.wikimedia.org/wiki/File:Saint_Peter_cathedral_in_Annecy_05.jpg
livingstone,8,Mukuni Village,images/landmarks/livingstone-mukuni-village.webp,919,1600,0.574,https://commons.wikimedia.org/wiki/File:African_woman_Mukuni_village_Zambia.jpg
quito,1,La Compañía de Jesús,images/landmarks/quito-la-compania-de-jesus.webp,919,1600,0.574,"https://commons.wikimedia.org/wiki/File:Iglesia_de_La_Compa%C3%B1%C3%ADa,_Quito,_Ecuador,_2015-07-22,_DD_125-127_HDR.JPG"
macau,3,Macau Tower,images/landmarks/macau-macau-tower.webp,930,1600,0.581,"https://commons.wikimedia.org/wiki/File:Torre_de_Macao,_2013-08-08,_DD_04.jpg"
harar,8,Medhane Alem Cathedral,images/landmarks/harar-medhane-alem-cathedral.webp,932,1600,0.583,https://commons.wikimedia.org/wiki/File:Medhane-Alem-Cathedral6.jpg
munich,0,Marienplatz,images/landmarks/munich-marienplatz.webp,936,1600,0.585,https://commons.wikimedia.org/wiki/File:Overview_Marienplatz_Rathaus_Munich.jpg
aswan,1,Unfinished Obelisk,images/landmarks/aswan-unfinished-obelisk.webp,940,1600,0.588,"https://commons.wikimedia.org/wiki/File:Obelisco_inacabado,_Asuán,_Egipto,_2022-04-01,_DD_153.jpg"
surat-thani,7,Khao Tha Phet Viewpoint,images/landmarks/surat-thani-khao-tha-phet-viewpoint.webp,941,1600,0.588,https://commons.wikimedia.org/wiki/File:Si_Surat_Stupa.jpg
ho-chi-minh-city,4,Bitexco Financial Tower,images/landmarks/ho-chi-minh-city-bitexco-financial-tower.webp,942,1600,0.589,"https://commons.wikimedia.org/wiki/File:Bitexco_Financial_Tower,_Ciudad_Ho_Chi_Minh,_Vietnam,_2013-08-14,_DD_01.JPG"
kermanshah,8,Dowlatshah Mosque,images/landmarks/kermanshah-dowlatshah-mosque.webp,702,1189,0.59,https://en.wikipedia.org/wiki/Mohammad-Ali%20Mirza%20Dowlatshah
lalibela,9,Bete Merkorios,images/landmarks/lalibela-bete-merkorios.webp,947,1600,0.592,"https://commons.wikimedia.org/wiki/File:Lalibela,_bete_merkorios_06.jpg"
playa-del-carmen,2,Playa Mamitas,images/landmarks/playa-del-carmen-playa-mamitas.webp,955,1600,0.597,"https://commons.wikimedia.org/wiki/File:Nice_Woman_at_Beach_-_Playa_Mamitas,_Playa_del_Carmen_-_Quintana_Roo,_Mexico.jpg"
