city,idx,name,img,w,h,ratio,page
klaipeda,8,Martynas Mažvydas Sculpture Park,images/landmarks/klaipeda-martynas-mazvydas-sculpture-park.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Socha_Tvanas_Klp.JPG
ko-samui,0,Big Buddha Temple (Wat Phra Yai),images/landmarks/ko-samui-big-buddha-temple.webp,600,800,0.75,https://commons.wikimedia.org/wiki/File:Big_Buddha_Statue_at_Wat_Phra_Yai.jpg
ko-samui,4,"Fisherman's Village, Bophut",images/landmarks/ko-samui-fisherman-s-village-bophut.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Singha_Beer-Bophut.jpg
konstanz,8,Hus House (Hus-Haus),images/landmarks/konstanz-hus-house.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Hus-Haus_(Museum)_in_Konstanz.jpg
kuala-lumpur,0,Petronas Twin Towers,images/landmarks/kuala-lumpur-petronas-twin-towers.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Petronas_Twin_Towers_(230715-1406).jpg
kuala-lumpur,2,KL Tower (Menara Kuala Lumpur),images/landmarks/kuala-lumpur-kl-tower.webp,900,1200,0.75,"https://commons.wikimedia.org/wiki/File:KL_Tower,_Kuala_Lumpur,_Malaysia.jpg"
kuching,6,Tua Pek Kong Temple,images/landmarks/kuching-tua-pek-kong-temple.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Tua_Pek_Kong_Temple_(Kuching)_(27304678367).jpg
kumasi,9,Centre for National Culture,images/landmarks/kumasi-centre-for-national-culture.webp,960,1280,0.75,"https://commons.wikimedia.org/wiki/File:Centre_for_National_Culture,_Kumasi.jpg"
kyiv,2,Motherland Monument,images/landmarks/kyiv-motherland-monument.webp,960,1280,0.75,"https://commons.wikimedia.org/wiki/File:Monument_to_the_Motherland,_Dnipro_River_and_Kyiv_Sunset.jpg"
kyoto,9,Kyoto Tower,images/landmarks/kyoto-kyoto-tower.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:%E4%BA%AC%E9%83%BD%E3%82%BF%E3%83%AF%E3%83%BC%E5%A4%9C%E6%99%AF.jpg
