city,idx,name,current_img,current,current_ratio,tier,proposed_file,proposed,proposed_ratio,alternates
strasbourg,0,Cathédrale Notre-Dame de Strasbourg,images/landmarks/strasbourg-cathedrale-notre-dame-de-strasbourg.webp,1200x1535,0.782,strong,File:Cathédrale Notre dame de Strasbourg 03.jpg,4608x3072,1.5,File:Cathédrale Notre dame de Strasbourg 01.jpg | File:Cathédrale Notre dame de Strasbourg 02.jpg | File:Cathédrale Notre dame de Strasbourg 06.jpg
jaipur,0,Amber Fort,images/landmarks/jaipur-amber-fort.webp,1200x1532,0.783,strong,File:Amber Fort 20080213-1.jpg,4368x2912,1.5,File:Amber Fort 20080213-2.jpg | File:Amber Fort Jaipur 01.jpg | File:Amber Fort from outisde.jpg
sao-paulo,6,Avenida Paulista,images/landmarks/sao-paulo-avenida-paulista.webp,700x894,0.783,strong,File:Avenida Paulista no pôr do sol.jpg,5984x3990,1.5,File:Manifestação Fora Temer na Avenida Paulista 1040910-29.08.2016 rrs-7451.jpg | File:Manifestação Fora Temer na Avenida Paulista 1040908-29.08.2016 rrs-7418.jpg | File:Manifestação Fora Temer na Avenida Paulista 1040909-29.08.2016 rrs-7419.jpg
helsinki,3,Uspenski Cathedral,images/landmarks/helsinki-uspenski-cathedral.webp,1200x1529,0.785,good,File:Agusta Bell 412EP OH-HVK Malmi 1.JPG,5184x3456,1.5,File:Cessna 150M OH-CKY Malmi.JPG | File:Cessna 152 OH-CVY Malmi.JPG | File:DC-3 OH-LCH Malmi 1.JPG
moscow,6,Cathedral of Christ the Saviour,images/landmarks/moscow-cathedral-of-christ-the-saviour.webp,1200x1527,0.786,strong,File:Cathedral of Christ the Saviour - Moscow 2024.jpg,6000x4000,1.5,File:Cathedral of Christ the Saviour - Moscow 2024 1.jpg | File:Moscow - Dome of Cathedral of Christ the Saviour from thresholds of the Patriarchal Bridge1.jpg | File:Cathedral of Christ the Saviour - Moscow - summer 2024 3.jpg
petropolis,1,Catedral de São Pedro de Alcântara,images/landmarks/petropolis-catedral-de-sao-pedro-de-alcantara.webp,1200x1526,0.786,strong,File:Pétropolis l'église Sao Pedro de Alcantara (le choeur).jpg,2783x2042,1.363,File:Petrópolis RJ Brasil - Vitrais da Catedral S. Pedro de Ancântara - panoramio.jpg | File:0000 Rosacea.JPG
dublin,7,Temple Bar,images/landmarks/dublin-temple-bar.webp,1200x1526,0.786,strong,File:Dublin-Temple Bar-02-Martha Temple-2017-gje.jpg,5184x3456,1.5,File:Dublin-Temple Bar-14-2017-gje.jpg | File:Getting Ready For St. Patrick's Day - Temple Bar (4429971139).jpg | File:Dublin-Temple Bar-16-2017-gje.jpg
san-sebastian,5,Basílica de Santa María del Coro,images/landmarks/san-sebastian-basilica-de-santa-maria-del-coro.webp,1200x1524,0.787,strong,File:San Sebastián (Guipúzcoa)-Basílica de Santa Maria del Coro-1.jpg,4000x3000,1.333,"File:Detalle del portal de la Basílica de Santa María del Coro-Koruko Andre Mariaren basilika. San Sebastian-Donostia, Guipuzcoa-Gipuzkoa. (3).JPG | File:Detalle del portal de la Basílica de Santa María del Coro-Koruko Andre Mariaren basilika. San Sebastian-Donostia, Guipuzcoa-Gipuzkoa..JPG | File:Santa María del Coro - Donostia-San Sebastian (01).jpg"
chicago,4,Millennium Park,images/landmarks/chicago-millennium-park.webp,1200x1525,0.787,strong,File:2005-10-13 2880x1920 chicago above millennium park.jpg,2880x1920,1.5,File:20140810 01 Metra Millennium station (21688293760).jpg | File:20140810 04 Metra Millennium station (21689471789).jpg | File:20140810 02 Metra Millennium station (21253608714).jpg
sharm-el-sheikh,5,Strait of Tiran Reefs,images/landmarks/sharm-el-sheikh-strait-of-tiran-reefs.webp,996x1264,0.788,strong,File:ISS-36 Strait of Tiran N is up.jpg,2370x1580,1.5,File:EG-strasse-von-tiran-02.jpg | File:Tiran Island by Hatem Moushir.JPG | File:Détroit de Tiran Tiran 1981.JPG
visby,3,St. Karin (St. Catherine's) Church Ruin,images/landmarks/visby-st-catherine-ruin.webp,807x1024,0.788,strong,"File:Interior of Saint Catherine church ruin in winter, Visby 2.jpg",2890x2045,1.413,"File:Interior of Saint Catherine church ruin in winter, Visby 5.jpg | File:Interior of Saint Catherine church ruin in winter, Visby 3.jpg | File:Interior of Saint Catherine church ruin in winter, Visby 13.jpg"
mardin,4,Ulu Cami (Great Mosque of Mardin),images/landmarks/mardin-ulu-cami.webp,1200x1520,0.789,strong,File:Mardin ulu cami şadırvan.jpg,3712x2402,1.545,File:Mardin Ulu Cami DSCF9824.jpg | File:Mardin Ulu Cami DSCF9836.jpg | File:Mardin Ulu Cami DSCF9838.jpg
cyangugu,6,Kamiranzovu Waterfall,images/landmarks/cyangugu-kamiranzovu-waterfall.webp,1200x1519,0.79,good,File:Road between Ruhengeri and Kigali - Flickr - Dave Proffer (4).jpg,3872x2592,1.494,
nuremberg,6,Weißgerbergasse,images/landmarks/nuremberg-weissgerbergasse.webp,1200x1514,0.793,strong,File:Weißgerbergasse in Nürnberg.jpg,5424x3590,1.511,File:Weißgerbergasse.JPG | File:Nürnberg - Weißgerbergasse.jpg | File:Nürnberg (44462988732).jpg
los-angeles,4,TCL Chinese Theatre,images/landmarks/los-angeles-tcl-chinese-theatre.webp,1200x1513,0.793,strong,"File:2013, Hollywood Boulevard, TCL Chinese Theatre - panoramio.jpg",6000x4000,1.5,File:Grauman's Chinese Theatre 1 (15573029662).jpg | File:Grauman's Chinese Theatre.jpg | File:Grauman's Chinese Theatre 5 (15386191497).jpg
alesund,2,Jugendstilsenteret (Art Nouveau Centre),images/landmarks/alesund-jugendstilsenteret.webp,1200x1511,0.794,good,File:Ålesund fjord - panoramio.jpg,4000x2800,1.429,File:Ålesund 09.jpg | File:Ålesund public library facade.jpg | File:Reflexions in the fjord from Alesund - panoramio.jpg
verona,3,Piazza delle Erbe,images/landmarks/verona-piazza-delle-erbe.webp,1200x1512,0.794,strong,File:Fontana Madonna Verona Piazza delle Erbe.jpg,4256x2832,1.503,File:20110720 Piazza delle Erbe 2998.jpg | File:20110720 Piazza delle Erbe 3006.jpg | File:20110720 Piazza delle Erbe 3008.jpg
sapporo,1,Odori Park,images/landmarks/sapporo-odori-park.webp,1200x1512,0.794,strong,File:Odori Park (15982613668).jpg,4000x3000,1.333,File:Hokkaido Sapporo Odori Park.jpg | File:This is Sapporo (6960447275).jpg | File:Sapporo - Sapporo7175.jpg
porto-seguro,7,Marco do Descobrimento,images/landmarks/porto-seguro-marco-do-descobrimento.webp,615x774,0.795,good,"File:Cidade Histórica Brasileira - Porto Seguro, BA - Brasil (Casa de Câmera e Cadeia 1772).jpg",2763x1840,1.502,File:Primeira vila - panoramio.jpg | File:Church historic (51401728970).jpg
karakol,4,Przhevalsky Memorial Museum,images/landmarks/karakol-przhevalsky-memorial-museum.webp,628x789,0.796,good,File:Karakol - 297 (49354614026).jpg,5472x3648,1.5,File:Karakol - 296 (49359945406).jpg
tashkent,4,Independence Square (Mustaqillik Maydoni),images/landmarks/tashkent-independence-square-mustaqillik-maydoni.webp,720x905,0.796,strong,File:Monument at Mustaqillik maydoni 02.jpg,4171x2781,1.5,"File:Monument at Mustaqillik maydoni 01.jpg | File:Mustaqillik Maydoni station of Chilanzar Line of Tashkent Metro in Tashkent Uzbekistan.jpg | File:Mustaqillik Maydoni (Фонтан и Арка Езгулик, площадь Мустакиллик, Ташкент).jpg"
vatican-city,6,Baldachin of St. Peter (Bernini's Baldacchino),images/landmarks/vatican-city-baldachin.webp,1200x1507,0.796,strong,File:Saint Peter's Baldachin.jpg,7675x4943,1.553,"File:Baldachin Saint Peter's Basilica04 2016 6210.jpg | File:Baldacchino di San Pietro, G L Bernini.jpg | File:Baldachin of Saint Peter's Basilica (1).jpg"
colombo,0,Colombo Lotus Tower,images/landmarks/colombo-colombo-lotus-tower.webp,1200x1501,0.799,strong,File:A view of Colombo's skyline from the Lotus Tower.jpg,6000x4000,1.5,File:Lotus Tower Floating Market-Colombo Srilanka-Andres Larin.jpg | File:An ariel view of the Port of Colombo from the Lotus Tower.jpg | File:Colombo Lotus Tower seen Galle Road.jpg
cairo,7,Cairo Tower,images/landmarks/cairo-cairo-tower.webp,1200x1501,0.799,strong,File:Cairo Tower 2012.JPG,4752x3168,1.5,File:Cairo Citadel Lion Tower 20260527 111928.jpg | File:Cairo Tower-Sunset.JPG | File:Cairo Tower 2012 (1).jpg
bogota,5,Catedral Primada de Bogotá,images/landmarks/bogota-catedral-primada-de-bogota.webp,1200x1501,0.799,strong,File:Catedral Primada de Bogotá en la lluvia.jpg,3782x2534,1.493,File:Catedral Primada de Bogotá.5.JPG | File:Catedral Primada de Bogotá.7.JPG | File:Catedral Primada de Bogotá.4.JPG
izmir,4,Kemeraltı Bazaar,images/landmarks/izmir-kemeraltı-bazaar.webp,1200x1501,0.799,good,File:Bornova Metro akşam görüntüsü.jpg,6000x4000,1.5,File:Fifty shades of green.jpg | File:Aşık Veysel Rekreasyon Alanı heykel.jpg | File:Aşık Veysel Rekreasyon Alanı.jpg
delhi,0,India Gate,images/landmarks/delhi-india-gate.webp,1200x1501,0.799,strong,File:All India War Memorial (INDIA GATE).jpg,5184x3456,1.5,File:India Gate -Delhi -Delhi -SSI 038.jpg | File:India Gate -Delhi -Delhi -SSI 037.jpg | File:India Gate (18).jpg
mek-ele,0,Emperor Yohannes IV Palace Museum,images/landmarks/mekele-emperor-yohannes-iv-palace-museum.webp,1200x1501,0.799,strong,File:ET Mekele asv2018-01 img25 Atse Yohannes Museum.jpg,4976x3317,1.5,File:ET Mekele asv2018-01 img26 Atse Yohannes Museum.jpg | File:ET Mekele asv2018-01 img28 Atse Yohannes Museum.jpg | File:ET Mekele asv2018-01 img29 Atse Yohannes Museum.jpg
orlando,0,Cinderella Castle,images/landmarks/orlando-cinderella-castle.webp,1200x1501,0.799,strong,File:Cinderella Castle (14246770902).jpg,5184x3456,1.5,File:Cinderella Castle (29933678412).jpg | File:Cinderella Castle (29419618264).jpg | File:Cinderella Castle (29420392943).jpg
