city,idx,name,current_img,current,current_ratio,tier,proposed_file,proposed,proposed_ratio,alternates
luxembourg,1,Notre-Dame Cathedral,images/landmarks/luxembourg-notre-dame-cathedral.webp,485x1600,0.303,good,File:Adolphe Bridge over the valley of Petrusse in Luxembourg City.jpg,6000x4000,1.5,File:Exterior of Luxembourg City railway station 20180627.jpg | File:20180901 Luxembourg railway station.jpg | File:Grand Ducal Palace (Luxembourg) 20180627.jpg
riga,1,Freedom Monument,images/landmarks/riga-freedom-monument.webp,507x1600,0.317,strong,File:Honour guard at The Freedom Monument IMG 2415 C.JPG,4272x2848,1.5,File:Freedom Monument Latvia 11.jpg | File:Freedom Monument Latvia 13.jpg | File:Freedom Monument (Brivibas Piemineklis) (2).JPG
rouen,0,Cathédrale Notre-Dame de Rouen (Rouen Cathedral),images/landmarks/rouen-cathedrale-notre-dame-de-rouen-rouen-cathedral.webp,624x1600,0.39,strong,File:Rouen (76) Cathédrale Notre-Dame Vitraux 211.jpg,7728x5152,1.5,
new-york,0,Statue of Liberty,images/landmarks/new-york-statue-of-liberty.webp,646x1600,0.404,strong,"File:1 New York, Statue of Liberty.jpg",3803x2137,1.78,"File:Fire boat new york harbor fdny statue of liberty.jpg | File:0326New York City Statue of Liberty.JPG | File:2 New York, Statue of Liberty.jpg"
strasbourg,7,European Parliament (Louise Weiss Building),images/landmarks/strasbourg-european-parliament-louise-weiss-building.webp,666x1600,0.416,weak,File:Orange the World Parliament stands against rape (49123424842).jpg,1618x1079,1.5,File:14-02-06-Parlement-européen-Strasbourg-RalfR-115.jpg | File:14-02-06-Parlement-européen-Strasbourg-RalfR-117.jpg | File:14-02-06-Parlement-européen-Strasbourg-RalfR-119.jpg
tours,0,Cathédrale Saint-Gatien,images/landmarks/tours-cathedrale-saint-gatien.webp,681x1600,0.426,strong,File:Tours - Cathédrale Saint-Gatien - Exterior - 14.jpg,6298x4198,1.5,File:Tours - Cathédrale Saint-Gatien.jpg | File:Tours - Cathédrale Saint-Gatien - Exterior - 16.jpg | File:Tours - Cathédrale Saint-Gatien - Exterior - 02.jpg
santiago,1,Plaza de Armas,images/landmarks/santiago-cl-plaza-de-armas.webp,683x1600,0.427,strong,"File:J24 705 Plaza de Armas, catedrál.jpg",5850x3900,1.5,"File:Catedral de Santiago de Chile na náměstí Plaza de Armas - panoramio.jpg | File:J27 852 Santiago de Chile, Plaza de Armas.jpg | File:J25 291e Plaza de Armas, catedral metropolitana.jpg"
new-york,1,Empire State Building,images/landmarks/new-york-empire-state-building.webp,687x1600,0.429,strong,File:Empire State Building - New York.jpg,4608x3072,1.5,File:Empire State Building (6853503067).jpg | File:Empire State Building (30371635731).jpg | File:Empire State Building - Sunset.jpg
pittsburgh,0,Cathedral of Learning,images/landmarks/pittsburgh-cathedral-of-learning.webp,696x1600,0.435,strong,File:Cathedral of Learning Pittsburgh (3).jpg,4608x3072,1.5,"File:Cathedral of Learning Pittsburgh (2).jpg | File:Cathedral of Learning blue sky cloud.jpg | File:Cathedral of Learning and Carnegie, Oakland, Pittsburgh, 2015-03-30.jpg"
berlin,2,Berlin TV Tower (Fernsehturm),images/landmarks/berlin-tv-tower-fernsehturm.webp,707x1600,0.442,strong,"File:Fernsehturm, Berlín, Alemania, 2016-04-21, DD 40-42 HDR.jpg",7394x4845,1.526,"File:Fernsehturm und Bode-Museum bei Sonnenaufgang, Berlin-Mitte, 151011, ako.jpg | File:View Berlin TV Tower Jan2015 img4.jpg | File:Berliner Dom und Fernsehturm, 170117, ako.jpg"
wurzburg,3,Würzburg Cathedral (Dom St. Kilian),images/landmarks/wurzburg-wurzburg-cathedral-dom-st-kilian.webp,715x1600,0.447,strong,"File:Doppelturmfassade (Westeite) Dom St. Kilian Würzburg, Eingerahmt von Gebäuden, P1010702, 2024-09-07, yj.jpg",4000x3000,1.333,"File:Würzburg Dom St. Kilian Front 4.JPG | File:Würzburg, Dom, östliche Aussenansicht, 001.jpg | File:St. Kilian's Cathedral (Würzburg) 01.JPG"
vatican-city,9,Vatican Obelisk,images/landmarks/vatican-city-obelisk.webp,719x1600,0.449,strong,File:Base of the Vatican obelisk.jpg,6016x4000,1.504,"File:Saint Peter's Square - Vatican obelisk and facade of Saint Peter's Basilica (2).jpg | File:Rome, Italy, The Vatican obelisk at St. Peter's Square.jpg | File:DSCF1343-Vatican Obelisk-St Pieter Square-Vaticano-Italy-Castielli CC0.jpg"
denpasar,1,Puputan Badung Square,images/landmarks/denpasar-puputan-badung-square.webp,720x1600,0.45,strong,File:Taman Puputan 1906-Denpasar Bali.JPG,1600x1200,1.333,
mar-del-plata,5,Torre Tanque,images/landmarks/mar-del-plata-torre-tanque.webp,720x1600,0.45,strong,File:Torre tanque.jpg,2896x1944,1.49,File:Vista de Mar del Plata desde la Torre Tanque.jpg | File:Torre Tanque de Obras Sanitarias de la Nación-Mar del plata-06.jpg | File:Escalera caracol de la torre de agua.jpg
new-orleans,2,St. Louis Cathedral,images/landmarks/new-orleans-st-louis-cathedral.webp,722x1600,0.451,strong,"File:St. Louis Cathedral, New Orleans, Louisiana.jpg",4272x2848,1.5,"File:Joe and Jill Biden in St Louis Cathedral, New Orleans, 6 January 2025 P20250106AS-1841.jpg | File:St. Louis Cathedral Tabernacle.jpg | File:President Joe Biden speaks at St Louis Cathedral, New Orleans 6 January 2025 P20250106AS-1944.jpg"
oranjestad,0,Fort Zoutman & Willem III Tower,images/landmarks/oranjestad-fort-zoutman.webp,730x1600,0.456,strong,File:Fort Zoutman Willem III Toren Brakins 06.jpg,6000x4000,1.5,File:Fort Zoutman Willem III Toren Brakins 04.jpg | File:Fort Zoutman Willem III Toren Brakins 07.jpg | File:Fort Zoutman Willem III Tower 2.jpg
hua-hin,2,Wat Huay Mongkol,images/landmarks/hua-hin-wat-huay-mongkol.webp,640x1386,0.462,good,File:Elephant at Wat Huai Mongkhon.JPG,2048x1536,1.333,File:Wat Huai Mongkhon Hall.JPG | File:Wat Huai Mongkhon.JPG | File:หลวงปู่ทวด@วัดห้วยมงคล หัวหิน - panoramio.jpg
tangier,0,Kasbah and Kasbah Museum (Dar el Makhzen),images/landmarks/tangier-kasbah-and-kasbah-museum-dar-el-makhzen.webp,739x1600,0.462,good,File:Entrance to the Kasbah (22955672269).jpg,4452x2967,1.501,File:Kasbah de Tanger.jpg | File:Kasbah de Tánger 14.jpg | File:Kasbah of Tangier (19515).jpg
ulm,6,Museum Ulm,images/landmarks/ulm-museum-ulm.webp,740x1600,0.463,strong,File:House in Ulm - panoramio (11).jpg,5184x3456,1.5,File:Ulm-Marktplatz9-1-Asio.JPG | File:GER — BW — RPT — Ulm — Marktpl. 9 — (Ulmer Museum) — Mattes 2022-03-13 Batch (14).jpg | File:GER — BW — RPT — Ulm — Marktpl. 9 — (Ulmer Museum) — Mattes 2022-03-13 Batch (42).jpg
melbourne,6,Eureka Tower / Skydeck,images/landmarks/melbourne-eureka-tower-skydeck.webp,484x1036,0.467,strong,File:Eureka Skydeck 88 2017.jpg,2112x1408,1.5,"File:Eureka Tower by Arnaud Mesureur.jpg | File:The Eureka Challenge (10921541666).jpg | File:Eureka tower in the clouds at sunrise, Melbourne, Victoria, Australia - Flickr - Romain Pontida.jpg"
puebla,1,Capilla del Rosario (Rosary Chapel),images/landmarks/puebla-capilla-del-rosario.webp,748x1600,0.468,strong,File:Capilla del Rosario la casa de oro.jpg,5184x3456,1.5,File:Amazing capilla del Rosario 01.jpg | File:Capilla del Rosario 03.jpg | File:Capilla del Rosario 04.jpg
shanghai,6,Shanghai World Financial Center,images/landmarks/shanghai-shanghai-world-financial-center.webp,749x1600,0.468,strong,File:Shanghai World Financial Center ground cover (3135088282).jpg,3499x2340,1.495,File:Shanghai World Financial Center (34331162).jpeg | File:Shanghai World Financial Center (2874673073).jpg | File:Shanghai World Financial Center (2874694867).jpg
pattaya-chonburi,7,Art in Paradise Pattaya,images/landmarks/pattaya-chonburi-art-in-paradise-pattaya.webp,754x1600,0.471,good,File:พิพิธภัณท์เหรียญ(167).jpg,5616x3744,1.5,File:พิพิธภัณฑ์เพื่อการศึกษาวัดหนังฯ.jpg | File:DFC 0740 Juicy cheeseburger with fresh lettuce on a sesame bun served alongside crispy fries.jpg | File:DFC 0616 Evening buzz outside the Poli Poli Bar - neon lights laughter and late-night chatter spilling onto the street.jpg
hebron,5,Tel Rumeida (Ancient Tel Hebron),images/landmarks/hebron-tel-rumeida.webp,758x1600,0.474,strong,"File:Travel 2 Palestine, Markings of Hebron Biblical Pathway, Tel Rumeida.jpg",4368x2912,1.5,"File:Travel 2 Palestine, Shepherd at Tel Rumeida, Hebron.jpg | File:Moritz Schmitz von Hülst, Olive Tree at Tel Rumeida, Hebron IMG 4978.jpg | File:Moritz Schmitz von Hülst, Abandoned Schweppes truck at Tel Rumeida, Hebron IMG 4973.jpg"
auckland,0,Sky Tower,images/landmarks/auckland-sky-tower.webp,764x1600,0.477,good,File:TVNZ building 2025.jpg,4080x3060,1.333,"File:Panorama of Auckland (4749714165).jpg | File:Practice safe Mex in Auckland. Bueno (15456312235).jpg | File:Bus on Victoria Street West, Auckland Central, 1991.jpg"
pisa,0,Leaning Tower of Pisa,images/landmarks/pisa-leaning-tower-of-pisa.webp,765x1600,0.478,strong,File:Leaning Tower of Pisa in 2017.jpg,5472x3648,1.5,"File:Leaning Tower and Cathedral, Pisa 12.jpg | File:Leaning Tower and Cathedral, Pisa 14.jpg | File:Leaning Tower of Pisa 比薩斜塔 - panoramio.jpg"
shanghai,0,Oriental Pearl Tower,images/landmarks/shanghai-oriental-pearl-tower.webp,765x1600,0.478,strong,File:Iron bridge and Oriental Pearl Tower (8367909542).jpg,6000x4000,1.5,File:Far view of the Oriental Pearl TV Tower (36305049221).jpg | File:Oriental Pearl Tower - Glass Floor View.JPG | File:Oriental Pearl Tower (37756932761).jpg
klaipeda,9,Central Post Office,images/landmarks/klaipeda-central-post-office.webp,770x1600,0.481,strong,File:Main post office building in Klaipėda 02.jpg,2816x1816,1.551,"File:Klaipėda's German post office - panoramio.jpg | File:No mail today.jpg | File:Liepu Gatve, Klaipeda, August 1980.jpg"
zaragoza,6,Goya Museum,images/landmarks/zaragoza-goya-museum.webp,775x1600,0.484,strong,File:Museo Goya Zaragoza 2.jpg,3264x2448,1.333,"File:La Gloria (boceto), de Francisco de Goya. (Museo Ibercaja Camón Aznar).jpg"
sana-a,7,Sana'a Tower Houses of Al-Qasimi Quarter,images/landmarks/sanaa-sanaa-tower-houses-of-al-qasimi-quarter.webp,778x1600,0.486,good,"File:Sana'a, Yemen (11643260583).jpg",6016x4016,1.498,"File:Sana'a, Yemen (in explore) - Flickr - Rod Waddington.jpg | File:Aerial bombardments on Sana'a, Yemen from Saudi Arabia without the right aircraft. injustice - panoramio.jpg | File:Sana'a Asir - HDR (15330955454).jpg"
dusseldorf,0,Rheinturm,images/landmarks/dusseldorf-rheinturm.webp,778x1600,0.486,strong,File:2015.09.26.160445 Rheinturm Düsseldorf.jpg,2736x1824,1.5,"File:2015.09.26.161652 Rheinturm Neuer Zollhof Düsseldorf.jpg | File:Dülmen, Börnste, Kettbach -- 2015 -- 4644.jpg | File:Dülmen, Börnste, Kettbach -- 2015 -- 9900.jpg"
shanghai,1,Shanghai Tower,images/landmarks/shanghai-shanghai-tower.webp,778x1600,0.486,strong,"File:""Never forgot initial heart, remember the mission"" slogan in the Bund, Shanghai.jpg",3968x2976,1.333,File:20191112 Bund Bull-1.jpg | File:20191112 Bund Bull-2.jpg | File:20191112 Bund Bull-3.jpg
san-sebastian,6,Catedral del Buen Pastor,images/landmarks/san-sebastian-catedral-del-buen-pastor.webp,784x1600,0.49,strong,File:Catedral del Buen Pastor (9177326725).jpg,3888x2592,1.5,File:Catedral del Buen Pastor - Donostia-San Sebastian (01).jpg | File:San Sebastian Peine del Viento-Haizearen Orrazia 1190518.jpg | File:San Sebastian El Peine del Viento-Haizearen Orrazia (present and future) 1190526.jpg
taormina,9,Mazzarò Beach and Cable Car,images/landmarks/taormina-mazzaro-beach-and-cable-car.webp,785x1600,0.491,good,File:Cable cars in Taormina 02.jpg,4032x2268,1.778,"File:Funivia mazzaro taormina - panoramio.jpg | File:Funivia mazzaro taormina - panoramio - kajikawa (1).jpg | File:98039 Taormina, Province of Messina, Italy - panoramio (19).jpg"
catania,4,Via Etnea,images/landmarks/catania-via-etnea.webp,788x1600,0.492,strong,File:Catania - Via Etnea.jpg,3830x2560,1.496,"File:Catania - Via Etnea - panoramio.jpg | File:Catania Via Etnea, north of Via Pacini.jpg | File:Catania Via Etnea.jpg"
colmar,3,Collégiale Saint-Martin,images/landmarks/colmar-coll-giale-saint-martin.webp,789x1600,0.493,good,File:2019-08-04 21-57-31 tour-alsace-dannemarie.jpg,6000x4000,1.5,File:2019-08-04 21-58-09 tour-alsace-dannemarie.jpg | File:2019-08-04 21-58-53 tour-alsace-dannemarie.jpg | File:2019-08-04 21-59-29 tour-alsace-dannemarie.jpg
shanghai,4,Jin Mao Tower,images/landmarks/shanghai-jin-mao-tower.webp,795x1600,0.497,strong,File:Shanghai-Jin Mao-04-Innenansicht-2012-gje.jpg,5184x3456,1.5,File:Shanghai-Jin Mao-06-Teeladen-2012-gje.jpg | File:Pudong 21874-Shanghai (33024703806).jpg | File:Shanghai tre skyskrapor.jpg
london,5,Westminster Abbey,images/landmarks/london-westminster-abbey.webp,796x1600,0.497,strong,File:London - Westminster Abbey (1).jpg,5184x3456,1.5,"File:London - Westminster Abbey (40420372903).jpg | File:7-7-29, service à Westminster (Abbey) pour le rétablissement du roi (CN) - btv1b53217528s.jpg | File:London Westminster Abbey P1130951.jpg"
lisbon,7,Cristo Rei (Christ the King),images/landmarks/lisbon-cristo-rei.webp,500x1000,0.5,strong,"File:View of Lisbon and Rio Tejo looking east from Santuário de Cristo Rei (Sanctuary of Christ the King) in Almada, Portugal (55135633797).jpg",4022x3028,1.328,"File:The Christ the King statue, Cristo Rei.JPG | File:The Sanctuary of Christ the King and the Tagus River.jpg | File:National Sanctuary of Christ the King, Lisbon (11977106504).jpg"
taormina,2,Corso Umberto,images/landmarks/taormina-corso-umberto.webp,800x1600,0.5,strong,File:Corso Umberto Taormina - panoramio.jpg,4134x2756,1.5,"File:Corso Umberto a Taormina.jpg | File:0052 - Taormina - Corso Umberto - Dettaglio di casa - Foto Giovanni Dall'Orto, 19-May-2008.jpg | File:0057 - Taormina - Corso Umberto - Ex Hotel Metropol - Foto Giovanni Dall'Orto, 20-May-2008.jpg"
saskatoon,2,Meewasin Valley Trail,images/landmarks/saskatoon-meewasin-valley-trail.webp,802x1600,0.501,good,File:Downtown Saskatoon (2954134514).jpg,3742x2496,1.499,"File:Downtown Saskatoon (3169712658).jpg | File:Kiwanis Park (8149839483).jpg | File:Central Business District, 23rd St E, Saskatoon (505690) (25993032242).jpg"
detroit,6,Guardian Building,images/landmarks/detroit-guardian-building.webp,803x1600,0.502,strong,File:Guardian Building grill.jpg,4000x3000,1.333,"File:Guardian Building, Detroit 2.jpg | File:Guardian Building, Griswold Street, Detroit, MI - 53027562748.jpg | File:Guardian Building and Michigan Consolidated Gas Company Building, Detroit, MI - 53027548473.jpg"
paris,9,Sainte-Chapelle,images/landmarks/paris-sainte-chapelle.webp,807x1600,0.504,strong,"File:Paris, Sainte-Chapelle, Untere Kapelle, Innenansicht (1).jpg",4000x3000,1.333,"File:Paris, Sainte-Chapelle, Obere Kapelle, Innenansicht (27).jpg | File:Sainte-Chapelle, Paris, from street.jpg"
freiburg,3,Schlossberg and Tower,images/landmarks/freiburg-schlossberg-tower.webp,821x1600,0.513,good,File:Freiburg im Breisgau Schlossbergturm 01.jpg,6016x4016,1.498,"File:Schlossbergturm in Freiburg, Treppe von oben 2.jpg | File:Schlossbergturm in Freiburg 9.jpg | File:Schlossbergturm in Freiburg, Aussichtsplattform mit Treppe zur Kanzel.jpg"
cork,1,St. Fin Barre's Cathedral,images/landmarks/cork-st-fin-barre-s-cathedral.webp,827x1600,0.517,strong,File:2017-06-15 7356x4904 cork saint fin barre's cathedral northeast.jpg,7356x4904,1.5,File:Saint Fin Barre's Cathedral.jpg | File:St Fin Barre's Cathedral.jpg | File:Cork St. Fin Barre's Cathedral Exterior Choir 06.jpg
frankfurt-am-main,5,Main Tower,images/landmarks/frankfurt-am-main-main-tower.webp,831x1600,0.519,strong,File:Frankfurt-Niederrader Bahnhof- auf Bahnsteig zu Gleis 2- Richtung Frankfurt am Main 7.6.2012.JPG,4912x3264,1.505,File:Frankfurter (Main) Flughafen Regionalbahnhof- auf Bahnsteig zu Gleis 1- Richtung Mainz 10.6.2012.jpg | File:Frankfurt am Main- Sozialgericht Frankfurt am Main- Außenansicht 16.6.2012.JPG | File:Frankfurt am Main- Bahnhof Taunusanlage- auf Bahnsteig zu Gleis 1 1.7.2012.jpg
stuttgart,4,Stiftskirche (Stuttgart Collegiate Church),images/landmarks/stuttgart-stiftskirche.webp,834x1600,0.521,strong,File:Stiftskirche Stuttgart-pjt1.jpg,6192x4128,1.5,File:Stiftskirche Stuttgart-pjt5.jpg | File:Stiftskirche Stuttgart-pjt6.jpg | File:Stiftskirche Stuttgart-pjt8.jpg
milan,2,Sforza Castle (Castello Sforzesco),images/landmarks/milan-sforza-castle-castello-sforzesco.webp,836x1600,0.522,strong,File:Sforza Castle (Castello Sforzesco) Milan high quality exterior view.jpg,5184x3456,1.5,"File:Sforza Castle (Castello Sforzesco), Milan (03).jpg | File:Sforza Castle (Castello Sforzesco), Milan (02).jpg | File:Sforza Castle (Castello Sforzesco), Milan (04).jpg"
baden-baden,5,Merkur Mountain,images/landmarks/baden-baden-merkur-mountain.webp,842x1600,0.526,strong,File:Baden-Baden-Merkur-55-2008-gje.jpg,2975x1857,1.602,File:Baden-Baden-Merkurturm-04-Wuerfel-2014-gje.jpg | File:Baden-Baden-Merkurturm-12-2010-gje.jpg | File:Baden-Baden-Merkurturm-14-Antenne-2010-gje.jpg
bissau,3,Bissau Cathedral (Sé Catedral de Bissau),images/landmarks/bissau-cathedral.webp,852x1600,0.532,strong,File:Catedral de Bissau (2).jpg,4608x2592,1.778,File:DC - Foto Serra No 132 - Catedral de Bissau.jpg | File:DC - Foto Serra No 027 - Bissau - Vista Aérea (1955).jpg | File:Katedrala u Bissauu 7.3.2026.jpg
innsbruck,8,City Tower (Stadtturm),images/landmarks/innsbruck-city-tower.webp,852x1600,0.532,strong,"File:Stadtturm Tower, Innsbruck.jpg",7747x5165,1.5,"File:Stadtturm Innsbruck (K16A9596).jpg | File:Innsbruck, der Inn vanaf de Universitätsbrücke met der Dom Sankt Jakob Dm64166 en der Stadtturm Dm64167 foto9 2017-07-30 16.22.jpg | File:Stadtturm 市政大樓 - panoramio.jpg"
salzburg,4,Mozart's Birthplace,images/landmarks/salzburg-mozart-s-birthplace.webp,855x1600,0.534,good,File:Salzburg Mozart Birthplace (9812850656).jpg,1598x1140,1.402,"File:Fachada de la casa natal de Mozart, Salzburgo, Austria, 2019-05-19, DD 56.jpg | File:Austria-00235 - Mozart's Second Home (19715784776).jpg | File:1944 - Salzburg - Mozart Wohnhaus, Makartplatz.jpg"
utrecht,0,Dom Tower (Domtoren),images/landmarks/utrecht-dom-tower.webp,854x1600,0.534,strong,File:Dom en domtoren vanuit het oosten - Utrecht - 20232131 - RCE.jpg,3134x2320,1.351,"File:Dom Tower, Domplein, seen from Stadhuisbrug, Utrecht 03.jpg | File:De Hamburgerbrug met de Oudegracht en de Domtoren in de Stad Utrecht.jpg | File:2012 Domtoren Utrecht.jpg"
nashville,9,Bridgestone Arena,images/landmarks/nashville-bridgestone-arena.webp,859x1600,0.537,strong,File:Bridgestone Arena Nashville 2012.jpg,4732x3088,1.532,File:Bridgestone Arena (North face) 2.JPG | File:Bridgestone Arena (Southwest corner) 1.JPG | File:Bridgestone Arena (North face) 1.JPG
bonn,1,Bonn Minster (Bonner Münster),images/landmarks/bonn-bonn-minster.webp,750x1371,0.547,strong,"File:Bonn, Münster -- 2021 -- 6653 (bw).jpg",6720x4480,1.5,"File:Bonn, Münster -- 2021 -- 6653.jpg | File:Bonn, Münster (11.-13. Jh.), Krypta.jpg | File:Bonn, Münster, Hochchor 1.jpg"
leticia,9,Puerto de Leticia,images/landmarks/leticia-puerto-de-leticia.webp,889x1600,0.556,strong,File:Puerto de Leticia.JPG,4320x3240,1.333,File:Leticia port in dry season.JPG | File:Leticia port in wet season.JPG | File:Leticia.jpg
prague,2,Prague Astronomical Clock,images/landmarks/prague-astronomical-clock.webp,895x1600,0.559,strong,"File:Astronomical Clock Prague 2014-01 (Tower, right side).jpg",5122x3415,1.5,"File:Astronomical Clock Prague 2014-01 (Tower, left side).jpg | File:Astronomical Clock - Old Town Square, Prague, Czech Republic - May 19, 2019.jpg | File:Astronomical Clock and Tyn Church Prague (51630232994).jpg"
santa-cruz-de-tenerife,6,Iglesia de la Concepción,images/landmarks/santa-cruz-de-tenerife-iglesia-de-la-concepcion.webp,896x1600,0.56,strong,"File:Iglesia de Nuestra Señora de la Concepción, Santa Cruz de Tenerife, España, 2012-12-15, DD 03.jpg",5225x3446,1.516,File:Iglesia Nuestra Señora de la Concepción - Santa Cruz de Tenerife.jpg | File:TORRE IGLESIA CONCEPCION SANTA CRUZ - panoramio.jpg | File:Iglesia Concepción Santa Cruz de Tenerife Entrada.jpg
bratislava,1,St. Martin's Cathedral,images/landmarks/bratislava-st-martin-s-cathedral.webp,898x1600,0.561,strong,File:St. Martin's Cathedral & Bratislava Castle (33791855856).jpg,5784x3856,1.5,"File:St. Martin's Cathedral in 2019.05.jpg | File:Bratislava Saint Martin's Cathedral O 01.jpg | File:Cathedral of St Martin, Bratislava 03.jpg"
bremen,2,Bremen Town Musicians Statue,images/landmarks/bremen-bremen-town-musicians-statue.webp,500x891,0.561,good,"File:Bremen, Bremer Stadtmusikanten -- 2021 -- 6369.jpg",6465x4310,1.5,File:Sieben-Faulen-Brunnen bremen 2019-04-19 -2.jpg | File:Sieben-Faulen-Brunnen bremen 2019-04-19 -1.jpg | File:Sieben-Faulen-Brunnen bremen 2019-04-19 -3.jpg
kandy,4,Udawattakele Forest Reserve,images/landmarks/kandy-udawattakele-forest-reserve.webp,898x1600,0.561,good,File:Udawattakele Kandy.JPG,4000x3000,1.333,File:Udawattakele kandy (3).JPG | File:Udawattakele kandy 2017-10-20 (1).jpg | File:Udawattakele kandy 2017-10-20 (2).jpg
erbil,0,Erbil Citadel,images/landmarks/erbil-erbil-citadel.webp,898x1600,0.561,strong,"File:2. Erbil Citadel, Erbil Governorate, Iraqi Kurdistan.jpg",4288x2848,1.506,"File:5. Erbil Citadel, Erbil Governorate, Iraqi Kurdistan.jpg | File:7. Erbil Citadel, Erbil Governorate, Iraqi Kurdistan.jpg | File:9. Erbil Citadel, Erbil Governorate, Iraqi Kurdistan.jpg"
toronto,9,Kensington Market,images/landmarks/toronto-kensington-market.webp,898x1600,0.561,strong,"File:Carlos' House of Spice, Kensington Market 2026.jpg",6000x4000,1.5,"File:Kensington Market in Toronto, June 24 2026 (17).jpg | File:Kensington Market in Toronto, June 24 2026 (09).jpg | File:Kensington Market in Toronto, June 24 2026 (05).jpg"
vilnius,8,Vilnius TV Tower,images/landmarks/vilnius-tv-tower.webp,898x1600,0.561,strong,"File:Vilnius, Lazdynai, Televizijos bokštas.jpg",6000x4000,1.5,"File:331 vilnius St. Catherine's Chuch (21654658939).jpg | File:Paneriai, Vilnius, Lithuania - panoramio (62).jpg | File:Paneriai, Vilnius, Lithuania - panoramio (63).jpg"
basseterre,1,The Circus and Berkeley Memorial Clock,images/landmarks/basseterre-the-circus-berkeley-memorial-clock.webp,900x1600,0.562,strong,"File:St. Kitts, Karibik - The Berkeley Memorial - Circus in Basseterre - panoramio.jpg",3611x2568,1.406,File:The Circus from Ballahoo.JPG | File:The Circus from Ballahoo 2.JPG | File:The Berkley Memorial.jpg
banda-aceh,0,Baiturrahman Grand Mosque,images/landmarks/banda-aceh-baiturrahman-grand-mosque.webp,900x1600,0.562,strong,File:Taraweh di Baiturrahman.jpg,6000x4000,1.5,"File:Prasasti mengenai tewasnya Jenderal Kohler dalam upaya penyerangan di Masjid Raya Baiturrahman; 2014.jpg | File:Meuseujid Raya Baiturrahman .jpg | File:Meuseujid Raya Baiturrahman, Aceh.jpg"
bariloche,4,Centro Cívico,images/landmarks/bariloche-centro-civico.webp,899x1600,0.562,strong,File:CENTRO CIVICO 18.JPG,4272x2848,1.5,File:CENTRO CIVICO 21.JPG | File:CENTRO CIVICO 20.JPG | File:CENTRO CIVICO 22.JPG
bishkek,5,Panfilov Park,images/landmarks/bishkek-panfilov-park.webp,899x1600,0.562,strong,File:Panfilov park.jpg,4032x3024,1.333,File:Bishkek-kyrgyzstan-panfilov park.jpg | File:Bishkek P9170513 29 (26229395198).jpg | File:Bishkek P9170514 002 (26229398468).jpg
cordoba,7,Torre de la Calahorra,images/landmarks/cordoba-torre-de-la-calahorra.webp,900x1600,0.562,strong,File:Córdoba-Puente Romano-Torre de La Calahorra-20110917.jpg,4272x2848,1.5,"File:170922 Torre de la Calahorra,.jpg | File:Torre de la Calahorra (36301033134).jpg | File:Torre de la Calahorra desde el aire (Córdoba, España).jpg"
cox-s-bazar,8,Sonadia Island,images/landmarks/coxs-bazar-sonadia-island.webp,900x1600,0.562,strong,"File:Mangrove Forest and Tidal Mudflats on Sonadia Island, Maheshkhali, Cox's Bazar, Bangladesh.jpg",3264x2448,1.333,"File:Sonadia Beach, (photo-Zahirul Islam-MLA).jpg | File:Sailing Through the Green.jpg | File:𝐁𝐥𝐚𝐜𝐤- 𝐇𝐞𝐚𝐝𝐞𝐝 𝐈𝐛𝐢𝐬.jpg"
arhus,2,Aarhus Cathedral (Aarhus Domkirke),images/landmarks/arhus-cathedral.webp,900x1600,0.562,strong,"File:2015-06-30 Aarhus, Domkirke 01.jpg",4752x3168,1.5,File:Aarhus Domkirke (ur).jpg | File:Aarhus Domkirke – Exterior.jpg | File:Aarhus Domkirke.JPG
corfu,1,Corfu Old Town and the Liston,images/landmarks/corfu-corfu-old-town-and-the-liston.webp,900x1600,0.562,good,"File:Korfu (GR), Korfu, Ptichia -- 2018 -- 1112.jpg",6720x4480,1.5,"File:Korfu (GR), Agii Douli, Olivenhain -- 2018 -- 1261.jpg | File:Korfu (GR), Nimfes, Quelle -- 2018 -- 1305.jpg | File:Korfu (GR), Nimfes, Quelle -- 2018 -- 1306.jpg"
guangzhou,8,Guangzhou Circle,images/landmarks/guangzhou-circle.webp,900x1600,0.562,strong,File:Guangzhou Circle Building.jpg,3264x1836,1.778,File:Guangzhou Circle Building 5.jpg | File:Guangzhou (74178).jpg | File:Guangzhou (26229).jpg
hue,8,An Dinh Palace,images/landmarks/hue-an-dinh-palace.webp,900x1600,0.562,strong,File:An Dinh Palace - Cung An Định (2024) - front facade - img 04.jpg,4032x3024,1.333,"File:An Dinh Palace - Cung An Định (2024) - front facade - img 05.jpg | File:La façade principale du palais An Dinh à Hué (4393491888).jpg | File:Cung An Định, Huế (32311325687).jpg"
guadalajara,5,Templo Expiatorio del Santísimo Sacramento,images/landmarks/guadalajara-templo-expiatorio.webp,900x1600,0.562,strong,File:Templo Expiatorio del Santísimo Sacramento de Guadalajara 1.jpg,4032x2268,1.778,File:Templo Expiatorio del Santísimo Sacramento de Guadalajara 3.jpg | File:Templo Expiatorio del Santísimo Sacramento de Guadalajara 7.jpg | File:Templo Expiatorio del Santísimo Sacramento de Guadalajara 8.jpg
