reason,country,city,landmark,slug,idx,img,page
wrong file type,Algeria,Constantine,Rhumel Gorges (Gorges du Rhumel),constantine,1,images/landmarks/constantine-rhumel-gorges.webp,"https://commons.wikimedia.org/wiki/File:ETH-BIB-Gorges_du_Rhumel,_Constantine_(Alg%C3%A9rie)._Grand_Arche_Naturelle-Dia_247-15072.tif"
"wrong file type; no word shared with landmark, city or country",Chad,N'Djamena,Cathédrale Notre-Dame de N'Djaména,n-djamena,4,images/landmarks/ndjamena-cathedrale-notre-dame.webp,"https://commons.wikimedia.org/wiki/File:ASC_Leiden_-_NSAG_-_van_Es_7_-_019_-_La_cath%C3%A9drale_moderne_avec_une_arche_pointue_-_N%27Djam%C3%A9na,_Tchad_-_7_janvier_1962.tif"
"wrong file type; no word shared with landmark, city or country",Costa Rica,Liberia,Africa Mia,liberia,7,images/landmarks/liberia-africa-mia.webp,https://commons.wikimedia.org/wiki/File:African_Repository_(IA_africanreposito4311amer_1).pdf
wrong file type,DR Congo,Goma,Mount Goma,goma,6,images/landmarks/goma-mount-goma.webp,https://commons.wikimedia.org/wiki/File:Battle_of_Goma.svg
wrong file type,Indonesia,Manado,Museum Negeri Sulawesi Utara,manado,6,images/landmarks/manado-museum-negeri-sulawesi-utara.webp,https://commons.wikimedia.org/wiki/File:Pameran_Museum_-_Museum_Negeri_Sulawesi_Utara.pdf
wrong file type,Mexico,Veracruz,Plaza de la Campana,veracruz,9,images/landmarks/veracruz-plaza-de-la-campana.webp,"https://commons.wikimedia.org/wiki/File:Diario_de_las_operaciones_de_la_expedicion_contra_la_Plaza_de_Panzacola_concluida_por_las_armas_de_S(u)_M(agestad)_Cat%C3%B3lica,_(IA_diariodelasopera00glve).pdf"
wrong file type; looks like a map,Montserrat,Brades,Oriole Walkway Trail (Centre Hills),brades,7,images/landmarks/brades-oriole-walkway-trail.webp,https://commons.wikimedia.org/wiki/File:Topographic-map-of-Montserrat-en.svg
wrong file type,Morocco,Casablanca,Casablanca Cathedral (Sacré-Cœur),casablanca,1,images/landmarks/casablanca-cathedral-sacre-coeur.webp,"https://commons.wikimedia.org/wiki/File:ETH-BIB-Casablanca,_Cath%C3%A9drale-Dia_247-09229_(cropped).tif"
wrong file type,Niger,Agadez,Kaocen Palace,agadez,3,images/landmarks/agadez-kaocen-palace.webp,"https://commons.wikimedia.org/wiki/File:ASC_Leiden_-_van_Achterberg_Collection_-_01_-_30_-_L%27ancien_palais_de_Kaocen_Ag_Mohammed_Wau_Teguidda,_aujourd%27hui_H%C3%B4tel_de_l%27Air_-_Agadez,_Niger,_novembre_1990_-_janvier_1991.tif"
wrong file type; looks like a logo,Saudi Arabia,Riyadh,Riyadh Zoo,riyadh,9,images/landmarks/riyadh-riyadh-zoo.webp,https://commons.wikimedia.org/wiki/File:Riyadh_Season_Logo.svg
"wrong file type; no word shared with landmark, city or country",Senegal,Ziguinchor,Place Jean-Paul II,ziguinchor,7,images/landmarks/ziguinchor-place-jean-paul-ii.webp,https://commons.wikimedia.org/wiki/File:Template-Bishop.svg
wrong file type,Sri Lanka,Trincomalee,Trincomalee Harbour,trincomalee,9,images/landmarks/trincomalee-trincomalee-harbour.webp,https://commons.wikimedia.org/wiki/File:Sri_Lanka_districts_Trincomalee.svg
wrong file type,Switzerland,Lausanne,Ouchy Waterfront,lausanne,2,images/landmarks/lausanne-ouchy-waterfront.webp,https://commons.wikimedia.org/wiki/File:ETH-BIB-Lausanne-Ouchy_v._O._aus_300_m-Inlandfl%C3%BCge-LBS_MH01-000233.tif
"wrong file type; no word shared with landmark, city or country",Trinidad and Tobago,Port of Spain,Lion House,port-of-spain,8,images/landmarks/port-of-spain-lion-house.webp,https://commons.wikimedia.org/wiki/File:Lev_vyskakujici.svg
wrong file type; looks like a coat of arms,Tuvalu,Funafuti,Tuvalu Philatelic Bureau,funafuti,2,images/landmarks/funafuti-tuvalu-philatelic-bureau.webp,https://commons.wikimedia.org/wiki/File:Coat_of_arms_of_Tuvalu.svg
wrong file type,United States,Boston,Long Wharf & Custom House Tower,boston,8,images/landmarks/boston-long-wharf-custom-house-tower.webp,"https://commons.wikimedia.org/wiki/File:Boston,_Massachusetts._Custom_House_tower,_ca._1915.tif"
wrong file type; looks like a flag,Uzbekistan,Urganch,Museum of Contemporary Art of Uzbekistan,urganch,4,images/landmarks/urganch-museum-of-contemporary-art-of-uzbekistan.webp,https://commons.wikimedia.org/wiki/File:Flag_of_Uzbekistan.svg
looks like a flag,China,Zhuhai,Gongbei Port of Entry,zhuhai,6,images/landmarks/zhuhai-gongbei-port.webp,"https://commons.wikimedia.org/wiki/File:Flag_of_China_outside_Gongbei_Port,_Zhuhai.jpg"
looks like a flag,Croatia,Split,Marjan Hill,split,4,images/landmarks/split-marjan-hill.webp,"https://commons.wikimedia.org/wiki/File:Flag_of_Croatia_on_Marjan_hill,_Split.jpg"
looks like a map,Czechia,Olomouc,Town Hall and Astronomical Clock,olomouc,1,images/landmarks/olomouc-town-hall-astronomical-clock.webp,https://commons.wikimedia.org/wiki/File:Olomouc_-_Horní_náměstí_-_View_SSE_on_Town_Hall_1607_-_Astronomical_clock_1955_by_Karel_Svolinský_-_Bronze_3D_Town_Map.jpg
looks like a coin,Ethiopia,Gondar,Ras Mikael Sehul's Palace,gondar,9,images/landmarks/gondar-ras-mikael-sehul-s-palace.webp,https://commons.wikimedia.org/wiki/File:Ras_Mikael_Sehul_burst_coin.jpg
looks like a map,Guinea,Conakry,Îles de Los (Los Islands),conakry,2,images/landmarks/conakry-iles-de-los-los-islands.webp,https://commons.wikimedia.org/wiki/File:Iles_de_Los_Map.jpg
looks like a portrait of,Iran,Kermanshah,Dowlatshah Mosque,kermanshah,8,images/landmarks/kermanshah-dowlatshah-mosque.webp,"https://commons.wikimedia.org/wiki/File:Portrait_of_Mohammad-Ali_Mirza_Dowlatshah,_Qajar_Iran,_Anonymous_painter,_19th_century_(cropped).jpg"
"looks like a chart; no word shared with landmark, city or country",Iraq,Karbala,Maqam of Imam al-Mahdi,karbala,9,images/landmarks/karbala-maqam-of-imam-al-mahdi.webp,https://commons.wikimedia.org/wiki/File:Detailed_Eschatological_Chart.png
looks like a map,Nigeria,Lagos,Eko Atlantic City,lagos,7,images/landmarks/lagos-eko-atlantic-city.webp,https://commons.wikimedia.org/wiki/File:Eko_Atlantic_Location_map.png
looks like a flag,Spain,Seville,Torre del Oro,seville,4,images/landmarks/seville-torre-del-oro.webp,https://commons.wikimedia.org/wiki/File:Torre_del_Oro_flag_Seville_Spain.jpg
"looks like a flag; no word shared with landmark, city or country",Tajikistan,Dushanbe,Dushanbe Flagpole,dushanbe,0,images/landmarks/dushanbe-dushanbe-flagpole.webp,https://commons.wikimedia.org/wiki/File:Flag_TJ_Bagh-i_Rudaki.jpg
"looks like a maps; no word shared with landmark, city or country",Tanzania,Moshi,Marangu Village and Chagga Caves,moshi,5,images/landmarks/moshi-marangu-village-and-chagga-caves.webp,"https://commons.wikimedia.org/wiki/File:561_of_%27Across_East_African_Glaciers._An_account_of_the_first_ascent_of_Kilimanjaro_..._Translated_from_the_German_by_E._H._S._Calder._With_..._illustrations_and_..._maps,_etc._(With_a_biography_and_appendices.)_L.P%27_(11208295136).jpg"
looks like a maps,Vatican,Vatican City,Vatican Museums,vatican-city,3,images/landmarks/vatican-city-vatican-museums.webp,https://commons.wikimedia.org/wiki/File:Gallery_of_Geographical_Maps_(Vatican_Museums)_2005.jpg
"no word shared with landmark, city or country",Afghanistan,Bamyan,Band-e-Amir Lakes,bamyan,1,images/landmarks/bamyan-band-e-amir-lakes.webp,https://commons.wikimedia.org/wiki/File:Lake%20in%20Band-e%20Amir%20National%20Park%2C%20March%202008.jpg
"no word shared with landmark, city or country",Afghanistan,Bamyan,Koh-e Baba Mountains,bamyan,7,images/landmarks/bamyan-koh-e-baba-mountains.webp,https://commons.wikimedia.org/wiki/File:Kohi%20Baba.jpg
"no word shared with landmark, city or country",Albania,Durrës,Fatih Mosque,durres,8,images/landmarks/durres-fatih-mosque.webp,https://commons.wikimedia.org/wiki/File:Xhamia_e_Fatihut.jpg
"no word shared with landmark, city or country",Algeria,Algiers,Casbah of Algiers,algiers,1,images/landmarks/algiers-casbah-of-algiers.webp,https://commons.wikimedia.org/wiki/File:AlgerCasbah.jpg
"no word shared with landmark, city or country",Algeria,Algiers,Djamaa el Djazair (Great Mosque of Algiers),algiers,4,images/landmarks/algiers-djamaa-el-djazair.webp,https://commons.wikimedia.org/wiki/File:Djama%C3%A2_El-Djaza%C3%AFr_-_20240405_212406834.jpg
"no word shared with landmark, city or country",Algeria,Constantine,Emir Abdelkader Mosque,constantine,3,images/landmarks/constantine-emir-abdelkader-mosque.webp,https://commons.wikimedia.org/wiki/File:Abd_al-Q%C3%A1dir_18.jpg
"no word shared with landmark, city or country",Algeria,Constantine,Cirta National Museum,constantine,7,images/landmarks/constantine-cirta-national-museum.webp,https://commons.wikimedia.org/wiki/File:Lazare_Costa_inscriptions_in_Lidzbarski%27s_Handbuch_der_Nordsemitischen_Epigraphik_Table_XV_(cropped).jpg
"no word shared with landmark, city or country",Algeria,Djanet,Tassili n'Ajjer National Park,djanet,0,images/landmarks/djanet-tassili-najjer-national-park.webp,https://commons.wikimedia.org/wiki/File:Fondazione_Passar%C3%A9_V1_068.jpg
"no word shared with landmark, city or country",Algeria,Djanet,Jabbaren,djanet,2,images/landmarks/djanet-jabbaren.webp,https://commons.wikimedia.org/wiki/File:Fondazione_Passar%C3%A9_V31_418.jpg
"no word shared with landmark, city or country",Algeria,Djanet,Tegharghart (The Crying Cow),djanet,3,images/landmarks/djanet-tegharghart.webp,https://commons.wikimedia.org/wiki/File:Gravures_rupestres_Vache_qui_pleure.jpg
"no word shared with landmark, city or country",Algeria,Djanet,Erg Admer,djanet,6,images/landmarks/djanet-erg-admer.webp,https://commons.wikimedia.org/wiki/File:ErgAdmer1.jpg
"no word shared with landmark, city or country",Algeria,Ghardaïa,The M'zab Palm Groves,ghardaia,7,images/landmarks/ghardaia-mzab-palm-groves.webp,https://commons.wikimedia.org/wiki/File:Coucher_de_soleil_sur_la_palmeraie_-_A61389S.jpg
"no word shared with landmark, city or country",Algeria,Tamanrasset,Ahaggar National Park,tamanrasset,2,images/landmarks/tamanrasset-ahaggar-national-park.webp,https://commons.wikimedia.org/wiki/File:Dune_de_sable_au_parc_Culturel_De_l%27Ahaggar_crop.jpg
"no word shared with landmark, city or country",Algeria,Timimoun,Timimoun Market,timimoun,9,images/landmarks/timimoun-timimoun-market.webp,https://commons.wikimedia.org/w/index.php?curid=179149224
"no word shared with landmark, city or country",Angola,Luanda,Church of Our Lady of Remedies (Luanda Cathedral),luanda,7,images/landmarks/luanda-cathedral.webp,https://commons.wikimedia.org/wiki/File:Igreja_de_Nossa_Senhora_dos_Remédios_(19929834976).jpg
"no word shared with landmark, city or country",Antigua and Barbuda,Saint John's,Heritage Quay,saint-john-s,2,images/landmarks/saint-johns-heritage-quay.webp,https://commons.wikimedia.org/wiki/File:Heritagequayantigua.jpg
"no word shared with landmark, city or country",Argentina,Bariloche,Nahuel Huapi National Park,bariloche,2,images/landmarks/bariloche-nahuel-huapi-national-park.webp,https://commons.wikimedia.org/wiki/File:Llao_Llao_Peninsula.jpg
"no word shared with landmark, city or country",Argentina,Bariloche,Cerro Catedral,bariloche,5,images/landmarks/bariloche-cerro-catedral.webp,https://commons.wikimedia.org/wiki/File:Basecat.JPG
"no word shared with landmark, city or country",Argentina,Buenos Aires,Palacio del Congreso,buenos-aires,7,images/landmarks/buenos-aires-palacio-del-congreso.webp,https://commons.wikimedia.org/wiki/File:Argentine_National_Congress_(Pedestrians_digitally_removed)_(8081437098).jpg
"no word shared with landmark, city or country",Argentina,El Calafate,Walichu Caves (Punta Walichu),el-calafate,7,images/landmarks/el-calafate-walichu-caves-punta-walichu.webp,https://commons.wikimedia.org/wiki/File:Cerro_Frias_4x4_tours.jpg
"no word shared with landmark, city or country",Argentina,Mar del Plata,Torreón del Monje,mar-del-plata,3,images/landmarks/mar-del-plata-torreon-del-monje.webp,https://commons.wikimedia.org/wiki/File:TorreondelMonje-MDP-ene2015.jpg
"no word shared with landmark, city or country",Argentina,Mendoza,Luján de Cuyo and Maipú Wineries,mendoza,3,images/landmarks/mendoza-lujan-de-cuyo-and-maipu-wineries.webp,https://commons.wikimedia.org/wiki/File:Bodega_Séptima.JPG
"no word shared with landmark, city or country",Argentina,Puerto Iguazú,Iguazú National Park Upper and Lower Circuits,puerto-iguazu,1,images/landmarks/iguazu-national-park-circuits.webp,"https://commons.wikimedia.org/wiki/File:Atardecer_en_las_Cataratas_del_Iguaz%C3%BA,_Circuito_Superior.jpg"
"no word shared with landmark, city or country",Argentina,Puerto Madryn,Playa El Doradillo,puerto-madryn,1,images/landmarks/madryn-playa-el-doradillo.webp,https://commons.wikimedia.org/wiki/File:Doradilloballena.jpg
"no word shared with landmark, city or country",Argentina,Salta,Mercado Artesanal de Salta,salta,9,images/landmarks/salta-mercado-artesanal-de-salta.webp,https://commons.wikimedia.org/wiki/File:Florentina_Mendoza_de_tienda_MATRA_en_Tecnópolis_(21895515470).jpg
"no word shared with landmark, city or country",Australia,Brisbane,Story Bridge,brisbane,0,images/landmarks/brisbane-story-bridge.webp,https://commons.wikimedia.org/wiki/File:BNE-StoryBridge-fromCityCat.jpg
"no word shared with landmark, city or country",Australia,Brisbane,Wheel of Brisbane,brisbane,8,images/landmarks/brisbane-wheel-of-brisbane.webp,https://commons.wikimedia.org/wiki/File:WheelofBrisbane9.JPG
"no word shared with landmark, city or country",Australia,Cairns,Great Barrier Reef,cairns,1,images/landmarks/cairns-great-barrier-reef.webp,https://commons.wikimedia.org/w/index.php?search=Great%20Barrier%20Reef%20Cairns&title=Special:MediaSearch
"no word shared with landmark, city or country",Australia,Cairns,Kuranda Scenic Railway,cairns,3,images/landmarks/cairns-kuranda-scenic-railway.webp,https://commons.wikimedia.org/w/index.php?search=Kuranda%20Scenic%20Railway%20Cairns&title=Special:MediaSearch
"no word shared with landmark, city or country",Australia,Cairns,Cape Tribulation,cairns,5,images/landmarks/cairns-cape-tribulation.webp,https://commons.wikimedia.org/w/index.php?search=Cape%20Tribulation%20Cairns&title=Special:MediaSearch
"no word shared with landmark, city or country",Australia,Melbourne,Melbourne Cricket Ground (MCG),melbourne,3,images/landmarks/melbourne-melbourne-cricket-ground-mcg.webp,https://commons.wikimedia.org/wiki/File:2017_AFL_Grand_Final_panorama_during_national_anthem.jpg
"no word shared with landmark, city or country",Australia,Perth,Crawley Edge Boatshed (Blue Boat House),perth,7,images/landmarks/perth-crawley-edge-boatshed.webp,https://commons.wikimedia.org/wiki/File:CrawleyEdgeBoatshed.jpg
"no word shared with landmark, city or country",Austria,Innsbruck,Bergisel Ski Jump,innsbruck,2,images/landmarks/innsbruck-bergisel-ski-jump.webp,https://commons.wikimedia.org/wiki/File:Bergiselschanze_Hadit_9.JPG
"no word shared with landmark, city or country",Austria,Salzburg,Mirabell Palace and Gardens,salzburg,1,images/landmarks/salzburg-mirabell-palace-and-gardens.webp,https://commons.wikimedia.org/wiki/File:Palatul_Mirabell1.jpg
"no word shared with landmark, city or country",Austria,Salzburg,Hellbrunn Palace,salzburg,6,images/landmarks/salzburg-hellbrunn-palace.webp,https://commons.wikimedia.org/wiki/File:Hellbrunn2.JPG
"no word shared with landmark, city or country",Austria,Vienna,St. Stephen's Cathedral,vienna,1,images/landmarks/vienna-st-stephens-cathedral.webp,https://commons.wikimedia.org/wiki/File:Wien_-_Stephansdom_(1).JPG
"no word shared with landmark, city or country",Austria,Vienna,Vienna State Opera,vienna,4,images/landmarks/vienna-state-opera.webp,https://commons.wikimedia.org/wiki/File:Wiener_Staatsoper_Front.jpg
"no word shared with landmark, city or country",Austria,Vienna,Austrian Parliament Building,vienna,9,images/landmarks/vienna-parliament.webp,https://commons.wikimedia.org/wiki/File:Wien_-_Parlamentsgebäude.JPG
"no word shared with landmark, city or country",Azerbaijan,Baku,Palace of the Shirvanshahs,baku,3,images/landmarks/baku-palace-of-the-shirvanshahs.webp,https://commons.wikimedia.org/wiki/File:Palacio%20de%20los%20Shirvanshah%2C%20Baku%2C%20Azerbaiy%C3%A1n%2C%202016-09-26%2C%20DD%20183-185%20HDR.jpg
"no word shared with landmark, city or country",Azerbaijan,Baku,Baku Ferris Wheel (Baku Eye),baku,8,images/landmarks/baku-baku-ferris-wheel-baku-eye.webp,https://commons.wikimedia.org/wiki/File:%C5%9Eeytan%20%C3%87arx%C4%B1.jpg
"no word shared with landmark, city or country",Bahamas,Nassau,Nassau Lighthouse (Hog Island Lighthouse),nassau,3,images/landmarks/nassau-nassau-lighthouse-hog-island-lighthouse.webp,https://commons.wikimedia.org/wiki/File:Hogislandlighthouse.jpg
"no word shared with landmark, city or country",Bangladesh,Cox's Bazar,Maheshkhali Island,cox-s-bazar,6,images/landmarks/coxs-bazar-maheshkhali-island.webp,"https://commons.wikimedia.org/wiki/File:Adinath_Temple,_Moheshkhali_.jpg"
"no word shared with landmark, city or country",Bangladesh,Dhaka,Lalbagh Fort,dhaka,1,images/landmarks/dhaka-lalbagh-fort.webp,https://commons.wikimedia.org/wiki/File:%E0%A6%B2%E0%A6%BE%E0%A6%B2_%E0%A6%95%E0%A7%87%E0%A6%B2%E0%A7%8D%E0%A6%B2%E0%A6%BE%E0%A6%B0_%E0%A6%AE%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A6%BE.jpg
"no word shared with landmark, city or country",Bangladesh,Dhaka,National Martyrs' Memorial (Jatiyo Smriti Soudho),dhaka,4,images/landmarks/dhaka-national-martyrs-memorial.webp,https://commons.wikimedia.org/wiki/File:5.%E0%A6%9C%E0%A6%BE%E0%A6%A4%E0%A7%80%E0%A6%AF%E0%A6%BC_%E0%A6%B8%E0%A7%8D%E0%A6%AE%E0%A7%83%E0%A6%A4%E0%A6%BF%E0%A6%B8%E0%A7%8C%E0%A6%A7.jpg
"no word shared with landmark, city or country",Bangladesh,Dhaka,Buriganga River & Sadarghat Boat Terminal,dhaka,7,images/landmarks/dhaka-buriganga-sadarghat.webp,https://commons.wikimedia.org/wiki/File:%E0%A6%AC%E0%A7%81%E0%A6%A1%E0%A6%BC%E0%A6%BF%E0%A6%97%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A6%BE_%E0%A7%A9.jpg
"no word shared with landmark, city or country",Bangladesh,Dhaka,Liberation War Museum,dhaka,9,images/landmarks/dhaka-liberation-war-museum.webp,https://commons.wikimedia.org/wiki/File:%E0%A6%AE%E0%A7%81%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A6%BF%E0%A6%AF%E0%A7%81%E0%A6%A6%E0%A7%8D%E0%A6%A7%E0%A6%BE_%E0%A6%9C%E0%A6%BE%E0%A6%A6%E0%A7%81%E0%A6%98%E0%A6%B0_%E0%A7%A8%E0%A7%A6%E0%A7%A8%E0%A7%AA.jpg
"no word shared with landmark, city or country",Bangladesh,Saint Martin's Island,Saint Martin's Bazaar,saint-martin-s-island,7,images/landmarks/saint-martin-s-island-saint-martin-s-bazaar.webp,https://commons.wikimedia.org/wiki/File:Invasion_of_Re1627.jpg
"no word shared with landmark, city or country",Belarus,Minsk,National Academic Bolshoi Opera and Ballet Theatre,minsk,8,images/landmarks/minsk-national-academic-bolshoi-opera-and-ballet-theatre.webp,https://commons.wikimedia.org/wiki/File:Национальны_акадэмічны_Вялікі_тэатар_оперы_і_балету_г._Менск_2.jpg
"no word shared with landmark, city or country",Belgium,Antwerp,Rubens House (Rubenshuis),antwerp,5,images/landmarks/antwerp-rubens-house.webp,https://commons.wikimedia.org/wiki/File:Rubenshaus.JPG
"no word shared with landmark, city or country",Belgium,Antwerp,Vlaeykensgang,antwerp,8,images/landmarks/antwerp-vlaeykensgang.webp,https://commons.wikimedia.org/wiki/File:Vlaaikensgang4.jpg
"no word shared with landmark, city or country",Belgium,Brussels,Royal Palace of Brussels,brussels,3,images/landmarks/brussels-royal-palace-of-brussels.webp,https://commons.wikimedia.org/wiki/File:Brussel_Koninklijk_paleis.jpg
"no word shared with landmark, city or country",Belgium,Brussels,Cathedral of St. Michael and St. Gudula,brussels,4,images/landmarks/brussels-cathedral-of-st-michael-and-st-gudula.webp,https://commons.wikimedia.org/wiki/File:Saints-Michel-et-Gudule_Luc_Viatour.jpg
"no word shared with landmark, city or country",Belgium,Brussels,Cinquantenaire Arcade,brussels,7,images/landmarks/brussels-cinquantenaire-arcade.webp,"https://commons.wikimedia.org/wiki/File:Arco_del_Cincuentenario,_Bruselas,_B%C3%A9lgica,_2021-12-15,_DD_115-135_HDR_PAN.jpg"
"no word shared with landmark, city or country",Belgium,Brussels,National Basilica of the Sacred Heart,brussels,8,images/landmarks/brussels-national-basilica-of-the-sacred-heart.webp,https://commons.wikimedia.org/wiki/File:Bruxelles_-_Basilique_Nationale_du_Sacr%C3%A9-C%C5%93ur_%C3%A0_Koekelberg_(5).jpg
"no word shared with landmark, city or country",Benin,Porto-Novo,Marche d'Adjarra,porto-novo,8,images/landmarks/porto-novo-marche-adjarra.webp,"https://commons.wikimedia.org/wiki/File:March%C3%A9_d%27Adjarra,_d%C3%A9partment_de_l%27Ou%C3%A9m%C3%A9_au_B%C3%A9nin.jpg"
"no word shared with landmark, city or country",Bolivia,La Paz,Mount Illimani viewpoint,la-paz,8,images/landmarks/la-paz-mount-illimani-viewpoint.webp,https://commons.wikimedia.org/wiki/File:Illimani2.JPG
"no word shared with landmark, city or country",Bosnia and Herzegovina,Mostar,Počitelj,mostar,5,images/landmarks/mostar-pocitelj.webp,"https://commons.wikimedia.org/wiki/File:Hajji_Alija_Mosque,_Po%C4%8Ditelj_2007.jpg"
"no word shared with landmark, city or country",Botswana,Gaborone,Parliament Building of Botswana,gaborone,6,images/landmarks/gaborone-parliament-building.webp,https://commons.wikimedia.org/wiki/File:BotswanaParliament.jpg
"no word shared with landmark, city or country",Brazil,Belo Horizonte,Estádio Mineirão,belo-horizonte,2,images/landmarks/belo-horizonte-estadio-mineirao.webp,https://commons.wikimedia.org/wiki/File:Mineir%C3%A3o_(Top_View).jpg
"no word shared with landmark, city or country",Brazil,Belo Horizonte,Casa do Baile,belo-horizonte,9,images/landmarks/belo-horizonte-casa-do-baile.webp,https://commons.wikimedia.org/wiki/File:CasadoBaile_2024_1.jpg
"no word shared with landmark, city or country",Brazil,Belém,Basílica Santuário de Nazaré,belem,1,images/landmarks/belem-basilica-santuario-de-nazare.webp,https://commons.wikimedia.org/wiki/File:Fachada_da_Bas%C3%ADlica_de_Nossa_Senhora_de_Nazar%C3%A9.jpg
"no word shared with landmark, city or country",Brazil,Brasília,Palácio da Alvorada,brasilia,3,images/landmarks/brasilia-palacio-da-alvorada.webp,https://commons.wikimedia.org/wiki/File:Homologa%C3%A7%C3%A3o_do_tombamento_de_obras_do_Niemeyer_(34321040524).jpg
"no word shared with landmark, city or country",Brazil,Brasília,Santuário Dom Bosco,brasilia,8,images/landmarks/brasilia-santuario-dom-bosco.webp,https://commons.wikimedia.org/wiki/File:20211028-_MG_9464.jpg
"no word shared with landmark, city or country",Brazil,Cabo Frio,Praia do Forte,cabo-frio,0,images/landmarks/cabo-frio-praia-do-forte.webp,https://commons.wikimedia.org/wiki/File:PlayaForteSaoMateo-CaboFrio-Brasil-feb2016.jpg
"no word shared with landmark, city or country",Brazil,Cabo Frio,Dunas do Peró (Dama Branca Dunes),cabo-frio,5,images/landmarks/cabo-frio-dunas-do-pero-dama-branca.webp,https://commons.wikimedia.org/w/index.php?search=Dunas%20do%20Per%C3%B3%20%28Dama%20Branca%20Dunes%29%20Cabo%20Frio&title=Special:MediaSearch
"no word shared with landmark, city or country",Brazil,Cabo Frio,Boulevard Canal (Canal do Itajuru),cabo-frio,6,images/landmarks/cabo-frio-boulevard-canal.webp,https://commons.wikimedia.org/w/index.php?search=Boulevard%20Canal%20%28Canal%20do%20Itajuru%29%20Cabo%20Frio&title=Special:MediaSearch
"no word shared with landmark, city or country",Brazil,Foz do Iguaçu,Mesquita Omar Ibn Al-Khattab,foz-do-iguacu,6,images/landmarks/foz-do-iguacu-mesquita-omar-ibn-al-khattab.webp,https://commons.wikimedia.org/wiki/File:MesquitaFozDoIgua%C3%A7uParanaBrasil.JPG
"no word shared with landmark, city or country",Brazil,Foz do Iguaçu,Catedral São João Batista,foz-do-iguacu,9,images/landmarks/foz-do-iguacu-catedral-sao-joao-batista.webp,https://commons.wikimedia.org/wiki/File:FozDoIguacuIgrejaCentro.jpg
"no word shared with landmark, city or country",Brazil,Guarujá,Acqua Mundo Aquarium,guaruja,6,images/landmarks/guaruja-acqua-mundo-aquarium.webp,https://commons.wikimedia.org/wiki/File:Aqu%C3%A1rio_(10201065556).jpg
"no word shared with landmark, city or country",Brazil,Natal,Maracajaú Reefs (Parrachos de Maracajaú),natal,9,images/landmarks/natal-maracajau-reefs-parrachos-de-maracajau.webp,https://commons.wikimedia.org/wiki/File:Maracaja%C3%BA.jpg
"no word shared with landmark, city or country",Brazil,Rio de Janeiro,Selarón Steps,rio-de-janeiro,4,images/landmarks/rio-de-janeiro-selaron-steps.webp,https://commons.wikimedia.org/wiki/File:Escadaria_Selar%C3%B3n-3.jpg
"no word shared with landmark, city or country",British Virgin Islands,Road Town,Sage Mountain National Park,road-town,3,images/landmarks/road-town-sage-mountain-national-park.webp,https://commons.wikimedia.org/wiki/File:Tortola.jpg
"no word shared with landmark, city or country",Brunei,Bandar Seri Begawan,Bandar Seri Begawan Waterfront,bandar-seri-begawan,6,images/landmarks/bandar-seri-begawan-bandar-seri-begawan-waterfront.webp,https://commons.wikimedia.org/wiki/File:View%20from%20the%20Waterfront%20Bandar%20Seri%20Begawan%2C%20Brunei%2001.jpg
"no word shared with landmark, city or country",Bulgaria,Varna,Clock Tower of Varna,varna,8,images/landmarks/varna-clock-tower-of-varna.webp,https://commons.wikimedia.org/wiki/File:VarnaRailway.JPG
"no word shared with landmark, city or country",Burkina Faso,Ouagadougou,Monument des Martyrs,ouagadougou,3,images/landmarks/ouagadougou-monument-des-martyrs.webp,https://commons.wikimedia.org/wiki/File:DSC_0597-3.jpg
"no word shared with landmark, city or country",Cambodia,Battambang,Bamboo Train (Norry),battambang,0,images/landmarks/battambang-bamboo-train.webp,https://commons.wikimedia.org/wiki/File:Norrydisassembled01.JPG
"no word shared with landmark, city or country",Cambodia,Battambang,Wat Banan,battambang,3,images/landmarks/battambang-wat-banan.webp,https://commons.wikimedia.org/wiki/File:VatBanonEscalier1.JPG
"no word shared with landmark, city or country",Cambodia,Battambang,Wat Ek Phnom,battambang,4,images/landmarks/battambang-wat-ek-phnom.webp,https://commons.wikimedia.org/wiki/File:Ek_Phnom3.JPG
"no word shared with landmark, city or country",Cambodia,Phnom Penh,Silver Pagoda,phnom-penh,1,images/landmarks/phnom-penh-silver-pagoda.webp,https://commons.wikimedia.org/wiki/File:Silverpagoda.jpg
"no word shared with landmark, city or country",Cameroon,Douala,Bonabéri Bridge,douala,8,images/landmarks/douala-bonaberi-bridge.webp,https://commons.wikimedia.org/wiki/File:Pont_sur_le_Wouri(en_construction)_01.jpg
"no word shared with landmark, city or country",Cameroon,Yaoundé,Benedictine Monastery Museum of Mont Fébé,yaounde,4,images/landmarks/yaounde-benedictine-monastery-museum-mont-febe.webp,https://commons.wikimedia.org/wiki/File:Entrée_du_musée_des_Bénédictins_7051.jpg
"no word shared with landmark, city or country",Canada,Banff,Johnston Canyon,banff,4,images/landmarks/banff-johnston-canyon.webp,https://commons.wikimedia.org/wiki/File:JohnstonCanyonUpperFalls.jpg
